Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.8826876,34.8,-0.24421106,-9.953002166748046,-9.953002166748046,1.0
2000,2.889532,150.4,-0.27731982,-71.6100119113922,-71.6100119113922,1.0
3000,2.8744183,201.0,-0.7186215,-12.490001678466797,-12.490001678466797,1.0
4000,2.8736582,262.0,-0.93209124,-135.7603562672933,-135.7603562672933,1.0
5000,2.8389432,453.0,-1.2017901,-215.9330358505249,-215.9330358505249,1.0
6000,2.8359432,311.5,-1.3481569,-112.77051734924316,-112.77051734924316,1.0
7000,2.7967737,712.0,-1.6335288,-281.72503566741943,-281.72503566741943,1.0
8000,2.7815495,194.0,-1.7164397,-52.942009687423706,-52.942009687423706,1.0
9000,2.7409103,575.0,-2.1222186,-237.00703847408295,-237.00703847408295,1.0
10000,2.725785,254.5,-2.2233765,-79.49851334095001,-79.49851334095001,1.0
11000,2.6855643,744.3333333333334,-2.418859,-251.41637229919434,-251.41637229919434,1.0
12000,2.6408396,542.0,-2.4638753,-177.27302622795105,-177.27302622795105,1.0
13000,2.586355,999.0,-2.6248646,-286.00004386901855,-286.00004386901855,1.0
14000,2.5362616,488.0,-2.599505,-130.5860195159912,-130.5860195159912,1.0
15000,2.5076525,685.3333333333334,-2.6656585,-102.82401243845622,-102.82401243845622,1.0
16000,2.4473844,737.0,-2.9993992,-132.6755164861679,-132.6755164861679,1.0
17000,2.4154284,None,-3.015202,None,None,1.0
18000,2.34502,363.0,-3.3587937,-46.63900685310364,-46.63900685310364,1.0
19000,2.3285224,None,-3.3820615,None,None,1.0
20000,2.2914124,999.0,-3.2957401,-166.9930202960968,-166.9930202960968,1.0
21000,2.267984,999.0,-3.4425974,-150.99101877212524,-150.99101877212524,1.0
22000,2.2295465,999.0,-3.230985,-54.00000548362732,-54.00000548362732,1.0
23000,2.2383697,None,-3.2551785,None,None,1.0
24000,2.2061577,999.0,-3.225801,-46.994671086470284,-46.994671086470284,1.0
25000,2.2131133,999.0,-3.4983253,-47.99600464105606,-47.99600464105606,1.0
