Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,2.7450123,2.5419874037788666,-0.8715364,-0.9237134930447343,-0.9237134930447343,0.12495054,4.816036,0.00029986107,0.19995372,0.0049976897,1.0
20000,2.507076,6.970866141732284,-0.8462217,-0.953427073040095,-0.953427073040095,0.07228233,4.107722,0.00029955286,0.19985092,0.0049925605,1.0
30000,2.4330654,8.543103448275861,-0.8460298,-0.9399856131541672,-0.9399856131541672,0.08225674,3.533847,0.0002992477,0.19974925,0.0049874866,1.0
40000,2.4252703,9.936263736263736,-0.85374177,-0.9618420727518305,-0.9618420727518305,0.057519797,3.2820044,0.00029896447,0.19965482,0.004982776,1.0
50000,2.4243984,9.696485623003195,-0.20515111,-0.9373286758711524,-0.9373286758711524,0.28491202,3.684831,0.0002986433,0.19954777,0.0049774335,1.0
60000,2.4931517,8.639185257032008,-0.10364465,-0.9467446275561758,-0.9467446275561758,0.33425474,3.9145062,0.00029835288,0.19945095,0.0049726027,1.0
70000,2.430581,9.214357937310414,-0.16755961,-0.9426524937077604,-0.9426524937077604,0.27983937,3.8608792,0.00029805192,0.19935066,0.004967597,1.0
80000,2.422066,8.675146771037182,-0.64229244,-0.9521653302188838,-0.9521653302188838,0.11511345,3.8356361,0.00029774057,0.19924682,0.004962417,1.0
90000,2.4866993,8.069767441860465,-0.79520744,-0.9490894918582646,-0.9490894918582646,0.07221646,3.7401295,0.0002974449,0.1991483,0.0049574994,1.0
100000,2.4644961,7.376480541455161,-0.7845528,-0.9383417604878772,-0.9383417604878772,0.087637894,3.858047,0.00029714598,0.19904867,0.0049525276,1.0
110000,2.3656309,10.221468926553673,-0.7942165,-0.9540992907120197,-0.9540992907120197,0.05912336,3.3345604,0.00029686044,0.19895345,0.0049477774,1.0
120000,2.3887987,11.235223160434257,-0.78812474,-0.9533606434580213,-0.9533606434580213,0.06959539,3.3639464,0.00029655182,0.1988506,0.004942646,1.0
130000,2.391037,12.047244094488189,-0.78710675,-0.9519855525066312,-0.9519855525066312,0.067838214,3.1319647,0.00029624038,0.1987468,0.0049374644,1.0
140000,2.400244,10.533564814814815,-0.79448843,-0.9552427423741087,-0.9552427423741087,0.064472586,3.4746644,0.00029595097,0.19865032,0.0049326504,1.0
150000,2.4636495,9.517241379310345,-0.79847103,-0.9533204275002559,-0.9533204275002559,0.06563231,3.5284336,0.00029565467,0.19855158,0.0049277223,1.0
160000,2.390647,11.244471744471744,-0.7959995,-0.962205634016562,-0.962205634016562,0.055985793,3.2737973,0.00029535417,0.19845138,0.0049227234,1.0
170000,2.4493284,9.880258899676376,-0.7821168,-0.9453466207947638,-0.9453466207947638,0.07607377,3.3352294,0.00029505225,0.19835074,0.004917702,1.0
180000,2.3820612,11.591603053435115,-0.6974961,-0.9637160642008817,-0.9637160642008817,0.07631396,3.3730683,0.00029475146,0.19825047,0.0049126977,1.0
190000,2.3639987,9.742489270386265,-0.638595,-0.9368677097222498,-0.9368677097222498,0.09775577,3.83164,0.00029445754,0.1981525,0.00490781,1.0
200000,2.3141363,10.61832946635731,-0.6626301,-0.946105170783969,-0.946105170783969,0.08393535,3.6804411,0.00029415297,0.19805099,0.0049027437,1.0
210000,2.3829114,9.350206611570249,-0.7005304,-0.9555243702909038,-0.9555243702909038,0.073244564,3.931738,0.00029385605,0.19795203,0.0048978054,1.0
220000,2.455749,8.030909090909091,-0.6946295,-0.922975443628406,-0.922975443628406,0.118116334,3.9633744,0.00029354342,0.19784781,0.0048926054,1.0
230000,2.508881,7.079416531604538,-0.6684476,-0.9247497647397431,-0.9247497647397431,0.12199379,4.056232,0.0002932414,0.19774711,0.0048875804,1.0
240000,2.5267458,7.814586994727592,-0.6621402,-0.9412460130605002,-0.9412460130605002,0.09551197,4.0472198,0.00029294688,0.19764896,0.0048826816,1.0
250000,2.503159,8.531514581373472,-0.769281,-0.9446798164376431,-0.9446798164376431,0.07522964,3.7939353,0.0002926555,0.19755182,0.004877836,1.0
260000,2.4453082,11.43964421855146,-0.7748928,-0.9511535202110479,-0.9511535202110479,0.06201309,3.4306972,0.00029235292,0.19745098,0.0048728036,1.0
270000,2.43378,10.919298245614035,-0.763943,-0.964124823013014,-0.964124823013014,0.056701805,3.5955489,0.0002920634,0.19735447,0.004867988,1.0
280000,2.408889,13.414847161572052,-0.5597386,-0.9497736912682979,-0.9497736912682979,0.09605697,3.3575566,0.00029174847,0.1972495,0.004862749,1.0
290000,2.4246955,10.033076074972437,-0.18005024,-0.950744180417442,-0.950744180417442,0.26120672,3.8083744,0.00029146363,0.19715452,0.004858011,1.0
300000,2.4549558,9.4859228362878,-0.1908614,-0.9409603847501179,-0.9409603847501179,0.26313996,3.865095,0.00029114747,0.19704914,0.0048527527,1.0
310000,2.4658682,10.061590145576707,0.07516268,-0.9413299564949114,-0.9413299564949114,0.49090478,3.68585,0.0002908523,0.19695078,0.0048478423,1.0
320000,2.3927002,10.373863636363636,0.14211728,-0.9584035944962312,-0.9584035944962312,0.54986197,3.6160975,0.0002905576,0.19685254,0.004842941,1.0
330000,2.4292796,9.848812095032397,0.14979799,-0.9579022486858983,-0.9579022486858983,0.5763914,3.7269716,0.00029024846,0.19674948,0.0048377994,1.0
