Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Environment/Episode Length,Is Training
2000,2.1946912,-0.1848475,-220.42004013061523,-220.42004013061523,999.0,1.0
3000,2.1796875,-0.9731609,-145.94237112998962,-145.94237112998962,999.0,1.0
4000,2.1679733,-2.3096347,-33.438169717788696,-33.438169717788696,999.0,1.0
5000,2.1751518,-1.548629,-283.59055185317993,-283.59055185317993,999.0,1.0
6000,2.1809037,-0.86115223,-0.020191669464111328,-0.020191669464111328,999.0,1.0
7000,2.1706483,-1.4550283,521.4418969154358,521.4418969154358,322.0,1.0
8000,2.1700556,-1.337643,473.5076105594635,473.5076105594635,602.0,1.0
9000,2.1702645,-1.0909224,-19.986440420150757,-19.986440420150757,999.0,1.0
10000,2.1786797,-0.8752531,-238.65250492095947,-238.65250492095947,999.0,1.0
11000,2.146694,-1.2503556,-197.17865109443665,-197.17865109443665,999.0,1.0
12000,2.1438177,-1.5391881,-150.72428703308105,-150.72428703308105,999.0,1.0
13000,2.1758456,-1.5244119,-257.4116892814636,-257.4116892814636,999.0,1.0
14000,2.1380568,-1.3858621,579.9614100456238,579.9614100456238,567.0,1.0
15000,2.135732,-1.8587639,-104.42303609848022,-104.42303609848022,999.0,1.0
16000,2.1454418,-2.652832,-47.19259595870972,-47.19259595870972,999.0,1.0
17000,2.1048129,-1.7371447,-122.61959552764893,-122.61959552764893,999.0,1.0
18000,2.1198003,-1.9981343,13.913215637207031,13.913215637207031,999.0,1.0
19000,2.1363657,-0.76545906,415.65038442611694,415.65038442611694,507.0,1.0
20000,2.1017299,-0.7846662,-144.48019409179688,-144.48019409179688,999.0,1.0
21000,2.088074,-2.132728,-106.26493120193481,-106.26493120193481,999.0,1.0
22000,2.1064546,-1.6176972,-230.1057767868042,-230.1057767868042,999.0,1.0
23000,2.0647852,-1.2044344,85.71448993682861,85.71448993682861,999.0,1.0
24000,2.0924106,-2.1875021,-171.77223777770996,-171.77223777770996,999.0,1.0
25000,2.0174236,-1.7589775,523.7397307157516,523.7397307157516,516.0,1.0
26000,2.0506957,-1.5716182,557.0809278488159,557.0809278488159,565.5,1.0
27000,2.0023985,-0.6692363,-110.65810203552246,-110.65810203552246,999.0,1.0
28000,2.1070077,-3.2611217,-123.96885538101196,-123.96885538101196,999.0,1.0
29000,1.9892899,-2.8095114,503.5455809831619,503.5455809831619,509.0,1.0
30000,1.9347036,-0.85088867,-98.61061716079712,-98.61061716079712,999.0,1.0
31000,2.1194272,-1.9387453,-83.29988431930542,-83.29988431930542,999.0,1.0
32000,2.0387661,-0.9142407,-115.78153800964355,-115.78153800964355,999.0,1.0
33000,1.944185,-1.3709985,-124.05731058120728,-124.05731058120728,999.0,1.0
34000,2.0843103,-1.3417277,-210.81212711334229,-210.81212711334229,999.0,1.0
35000,2.130417,-2.5752368,-249.18586015701294,-249.18586015701294,999.0,1.0
36000,2.0794275,-2.208683,-151.92876625061035,-151.92876625061035,999.0,1.0
37000,2.1418216,-3.3330183,-99.67920875549316,-99.67920875549316,999.0,1.0
38000,2.0892224,-1.1847029,-102.71415042877197,-102.71415042877197,999.0,1.0
39000,1.9623941,-2.2222018,-114.08566045761108,-114.08566045761108,999.0,1.0
40000,2.1206908,-2.6463907,1054.3211965560913,1054.3211965560913,623.0,1.0
41000,2.0444603,-1.5038886,-210.10944652557373,-210.10944652557373,999.0,1.0
42000,1.9448459,-2.4204645,-162.17068576812744,-162.17068576812744,999.0,1.0
43000,1.9337482,-3.8280458,-172.2054681777954,-172.2054681777954,999.0,1.0
44000,1.9533706,-2.464325,-148.84082913398743,-148.84082913398743,999.0,1.0
45000,1.9457291,-1.3597379,-111.45903444290161,-111.45903444290161,999.0,1.0
46000,1.9964663,-3.0343533,494.9736728668213,494.9736728668213,568.0,1.0
47000,1.995976,-4.1414375,470.25419414043427,470.25419414043427,461.6666666666667,1.0
48000,2.140985,-2.9999402,978.5957984924316,978.5957984924316,999.0,1.0
49000,2.0944545,-2.5694635,414.33148431777954,414.33148431777954,753.0,1.0
50000,1.9070202,-2.0602865,-154.94297885894775,-154.94297885894775,999.0,1.0
51000,1.9022673,-3.1432333,-161.08677673339844,-161.08677673339844,999.0,1.0
52000,1.9068258,-2.552298,640.2783782482147,640.2783782482147,368.0,1.0
53000,1.9409003,-2.5561643,-127.44794249534607,-127.44794249534607,999.0,1.0
54000,2.0464456,-0.305376,-218.7662169933319,-218.7662169933319,999.0,1.0
55000,1.8662862,0.5666807,34.057255268096924,34.057255268096924,999.0,1.0
56000,2.1070724,-2.5750039,-95.1525444984436,-95.1525444984436,999.0,1.0
57000,1.9308543,-3.8538544,1000.7091112136841,1000.7091112136841,223.5,1.0
58000,1.9693938,-2.919241,542.9849479198456,542.9849479198456,608.0,1.0
59000,1.9005382,-1.0412843,404.07614755630493,404.07614755630493,505.5,1.0
60000,1.9435971,-0.12593885,457.71929478645325,457.71929478645325,519.5,1.0
61000,1.9975855,-1.6939205,-130.5091109275818,-130.5091109275818,999.0,1.0
62000,1.8325554,-4.555799,-6.088437557220459,-6.088437557220459,999.0,1.0
63000,1.8258773,-3.4660156,-72.72611713409424,-72.72611713409424,999.0,1.0
64000,1.8785288,-2.9843311,-143.94415092468262,-143.94415092468262,999.0,1.0
65000,1.9128512,-1.3628731,639.0931347211202,639.0931347211202,433.6666666666667,1.0
66000,1.7656147,-3.0488605,-122.59755277633667,-122.59755277633667,999.0,1.0
67000,2.1378303,-1.7330071,470.1364893913269,470.1364893913269,503.0,1.0
