Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.1943853,499.5,0.048067503,991.1292724609375,991.1292724609375,1.0
2000,2.1935627,999.0,0.022289874,-193.48238718509674,-193.48238718509674,1.0
3000,2.1936977,999.0,0.30479422,-129.31026220321655,-129.31026220321655,1.0
4000,2.1941588,999.0,-0.47605082,-134.6040616631508,-134.6040616631508,1.0
5000,2.1780508,999.0,-0.3794198,-120.54282283782959,-120.54282283782959,1.0
6000,2.1926386,56.0,-0.4915678,759.9120147824287,759.9120147824287,1.0
7000,2.1851125,999.0,-0.6443075,-115.45387005805969,-115.45387005805969,1.0
8000,2.1870108,999.0,-0.15373223,-114.5538854598999,-114.5538854598999,1.0
9000,2.174996,999.0,-0.10996157,-219.16080951690674,-219.16080951690674,1.0
10000,2.1807218,999.0,-0.9399765,-173.85453939437866,-173.85453939437866,1.0
11000,2.1638103,456.0,-0.7272669,705.8970958391825,705.8970958391825,1.0
12000,2.172517,999.0,-1.3204079,1170.677041053772,1170.677041053772,1.0
13000,2.158672,356.5,-0.7928771,627.3745276927948,627.3745276927948,1.0
14000,2.1629508,513.5,0.09864375,439.6255750656128,439.6255750656128,1.0
15000,2.1482306,410.0,-0.14226374,1027.0046055316925,1027.0046055316925,1.0
16000,2.1462467,683.5,0.8602407,500.6659183502197,500.6659183502197,1.0
17000,2.1468785,534.0,-0.69795847,-165.69238185882568,-165.69238185882568,1.0
18000,2.1672626,999.0,-0.89341867,1077.4846801757812,1077.4846801757812,1.0
19000,2.1066115,489.0,0.14893618,617.2689189910889,617.2689189910889,1.0
20000,2.1489723,999.0,-1.406968,-151.2591381072998,-151.2591381072998,1.0
21000,2.13462,999.0,0.8558327,-33.84011936187744,-33.84011936187744,1.0
22000,2.158934,66.0,-0.69200677,1201.1934051513672,1201.1934051513672,1.0
23000,2.1021106,821.5,0.41939184,440.5796333551407,440.5796333551407,1.0
24000,2.1235628,999.0,1.4709892,-152.6982765197754,-152.6982765197754,1.0
25000,2.1485229,999.0,1.0350465,-188.3912603855133,-188.3912603855133,1.0
26000,2.1419845,269.25,-0.9300493,1029.9090502262115,1029.9090502262115,1.0
27000,2.1522765,999.0,-1.6444783,-138.98063397407532,-138.98063397407532,1.0
28000,2.1508384,623.5,-0.37522727,-28.67391586303711,-28.67391586303711,1.0
29000,2.104128,638.0,0.6855421,1024.0287265777588,1024.0287265777588,1.0
30000,2.0903943,409.0,3.34859,965.3248710632324,965.3248710632324,1.0
31000,2.1274464,999.0,0.9929968,-73.08554267883301,-73.08554267883301,1.0
