Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Environment/Episode Length,Is Training
2000,2.1968367,-0.16211236,445.05934089422226,445.05934089422226,510.5,1.0
3000,2.185368,0.8380803,-109.32487201690674,-109.32487201690674,999.0,1.0
4000,2.1968553,1.150786,-167.04276752471924,-167.04276752471924,999.0,1.0
5000,2.177031,1.7675568,-115.18792057037354,-115.18792057037354,999.0,1.0
6000,2.1936412,1.1070768,-228.83976888656616,-228.83976888656616,999.0,1.0
7000,2.1834624,-0.7570766,-156.14565086364746,-156.14565086364746,999.0,1.0
8000,2.1746864,0.55773103,-121.03270101547241,-121.03270101547241,999.0,1.0
9000,2.183933,0.22193162,607.0676546891531,607.0676546891531,308.0,1.0
10000,2.1841047,-1.1480122,-110.91400241851807,-110.91400241851807,999.0,1.0
11000,2.1757946,-0.94030213,1081.2478716373444,1081.2478716373444,480.0,1.0
12000,2.1692257,0.3515275,-180.5747561454773,-180.5747561454773,999.0,1.0
13000,2.1881638,0.19659561,441.49526739120483,441.49526739120483,524.5,1.0
14000,2.1545513,0.7183233,-135.78109097480774,-135.78109097480774,999.0,1.0
15000,2.1646254,1.2685306,-173.16585612297058,-173.16585612297058,999.0,1.0
16000,2.1651947,0.042418838,417.1847016811371,417.1847016811371,832.0,1.0
17000,2.1475987,0.071682,-149.67241764068604,-149.67241764068604,999.0,1.0
18000,2.1831799,1.1918571,-188.32230925559998,-188.32230925559998,999.0,1.0
19000,2.163949,0.92353165,-115.11357975006104,-115.11357975006104,999.0,1.0
20000,2.1725252,-0.903726,1059.1102924346924,1059.1102924346924,775.0,1.0
21000,2.1769571,-0.6117321,-104.5956757068634,-104.5956757068634,999.0,1.0
22000,2.1429322,0.18861009,510.5952718257904,510.5952718257904,562.0,1.0
23000,2.1741374,1.1134703,-63.1868851184845,-63.1868851184845,999.0,1.0
24000,2.185278,0.31086704,-141.91547536849976,-141.91547536849976,999.0,1.0
25000,2.153234,0.2638637,-47.26746487617493,-47.26746487617493,999.0,1.0
26000,2.1357312,-0.39142263,-79.6501235961914,-79.6501235961914,999.0,1.0
27000,2.168292,-0.18813917,-164.22930240631104,-164.22930240631104,999.0,1.0
28000,2.1431124,0.14048344,1020.4674426714579,1020.4674426714579,385.0,1.0
29000,2.1524968,-0.1302869,-12.73443603515625,-12.73443603515625,999.0,1.0
30000,2.1519902,-0.07783911,1047.4590706825256,1047.4590706825256,604.0,1.0
