Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.1966896,499.5,-0.17759778,1000.0,1000.0,1.0
2000,2.1966236,999.0,0.5725193,-164.3658709526062,-164.3658709526062,1.0
3000,2.1966565,507.0,-0.14339668,389.45717096328735,389.45717096328735,1.0
4000,2.1901367,999.0,0.8651515,-212.3894464969635,-212.3894464969635,1.0
5000,2.1879358,999.0,0.042979732,-145.6429738998413,-145.6429738998413,1.0
6000,2.1827137,999.0,-1.1618553,-177.13276600837708,-177.13276600837708,1.0
7000,2.177767,999.0,-0.693406,-77.89153575897217,-77.89153575897217,1.0
8000,2.1634145,999.0,0.30497336,-124.00489282608032,-124.00489282608032,1.0
9000,2.1712375,999.0,-0.7415896,-146.5139560699463,-146.5139560699463,1.0
10000,2.172022,468.5,-0.806745,640.6760047276815,640.6760047276815,1.0
11000,2.1617186,999.0,-0.68262607,64.61276388168335,64.61276388168335,1.0
12000,2.123435,999.0,-1.4352026,-286.2730436325073,-286.2730436325073,1.0
13000,2.1684742,536.5,1.0011048,1177.2732543945312,1177.2732543945312,1.0
14000,2.1670494,999.0,-0.6921191,-155.65223360061646,-155.65223360061646,1.0
15000,2.148939,999.0,-1.8748336,-147.5005612373352,-147.5005612373352,1.0
16000,2.1490965,204.0,0.14654608,644.0384195645651,644.0384195645651,1.0
17000,2.1376896,450.6666666666667,-0.4142586,692.2434492111206,692.2434492111206,1.0
18000,2.1299844,539.5,-0.24778727,449.0156503915787,449.0156503915787,1.0
19000,2.1287901,247.33333333333334,0.42055082,1044.0388711293538,1044.0388711293538,1.0
20000,2.1256986,397.6666666666667,-0.115995735,654.5888846715292,654.5888846715292,1.0
21000,2.0659735,209.0,-0.768667,1030.0545850396156,1030.0545850396156,1.0
22000,1.9966501,999.0,-0.5943893,-154.8480293750763,-154.8480293750763,1.0
23000,2.050425,540.0,1.794725,416.5012668967247,416.5012668967247,1.0
24000,2.0361667,317.25,0.9694994,752.9175164699554,752.9175164699554,1.0
25000,1.9657607,366.0,-0.34907258,655.3003840446472,655.3003840446472,1.0
26000,1.903411,589.5,0.7048266,440.29806995391846,440.29806995391846,1.0
27000,2.0997036,532.5,2.316536,439.62244004011154,439.62244004011154,1.0
28000,2.0297966,999.0,-1.4467797,-129.67982363700867,-129.67982363700867,1.0
29000,2.1318798,999.0,-1.2185168,-220.1697849035263,-220.1697849035263,1.0
30000,2.1065602,62.5,3.6711402,1068.2577171325684,1068.2577171325684,1.0
31000,2.0588052,593.5,-0.424606,427.1347213983536,427.1347213983536,1.0
