Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.196911,499.5,-0.051583294,1000.0,1000.0,1.0
2000,2.194125,999.0,0.54830873,-179.75197911262512,-179.75197911262512,1.0
3000,2.1942704,343.3333333333333,-0.60819924,618.673446337382,618.673446337382,1.0
4000,2.1968257,999.0,-0.09819277,-203.33786153793335,-203.33786153793335,1.0
5000,2.1951811,32.0,-0.9465819,632.0630928675333,632.0630928675333,1.0
6000,2.1891036,540.5,-0.40082687,500.8434660434723,500.8434660434723,1.0
7000,2.1821089,999.0,-0.44536787,-123.66855931282043,-123.66855931282043,1.0
8000,2.1937778,999.0,-1.0107048,-185.18696117401123,-185.18696117401123,1.0
9000,2.1706748,593.3333333333334,-0.056954913,645.5180272261301,645.5180272261301,1.0
10000,2.1664674,236.33333333333334,-0.038123038,1031.7913850148518,1031.7913850148518,1.0
11000,2.1648004,506.5,0.6995766,531.1291596889496,531.1291596889496,1.0
12000,2.1663616,362.3333333333333,0.78519213,1001.9131202697754,1001.9131202697754,1.0
13000,2.1769044,243.2,-0.47336972,715.1891883611679,715.1891883611679,1.0
14000,2.1645849,128.25,0.33024788,1053.2245881080628,1053.2245881080628,1.0
15000,2.1580355,378.5,-0.050334938,1071.7344918251038,1071.7344918251038,1.0
16000,2.1343884,540.0,0.57606286,494.29625391960144,494.29625391960144,1.0
17000,2.141909,790.5,0.969777,1012.4079720973969,1012.4079720973969,1.0
18000,2.1215465,108.75,0.059801698,1044.0162870883942,1044.0162870883942,1.0
19000,2.1092474,387.0,0.7787844,695.4715364774069,695.4715364774069,1.0
20000,2.103685,167.8,0.6502402,1047.5559242248535,1047.5559242248535,1.0
21000,2.1140938,215.0,1.518232,1004.6716499328613,1004.6716499328613,1.0
22000,2.0494308,239.33333333333334,1.5848918,866.7958494822184,866.7958494822184,1.0
23000,2.0820873,494.6666666666667,0.3208824,1058.0136006673176,1058.0136006673176,1.0
24000,2.0867155,999.0,3.2295423,-51.8961124420166,-51.8961124420166,1.0
25000,2.073096,999.0,2.8882265,-47.92577362060547,-47.92577362060547,1.0
26000,2.0819228,73.81818181818181,1.9795429,1062.8096200769598,1062.8096200769598,1.0
27000,2.106493,585.0,2.3172107,486.4310190677643,486.4310190677643,1.0
28000,2.0911205,449.5,2.1485944,1011.7150321006775,1011.7150321006775,1.0
29000,2.0547667,87.33333333333333,2.2963352,1113.068702697754,1113.068702697754,1.0
30000,2.041238,200.0,2.7707686,920.0863993962606,920.0863993962606,1.0
31000,1.9780631,335.6666666666667,2.432417,610.474676767985,610.474676767985,1.0
32000,2.0972862,999.0,2.5282922,-84.08272361755371,-84.08272361755371,1.0
33000,2.007305,93.0909090909091,3.3899386,1084.3839069713247,1084.3839069713247,1.0
34000,2.0185258,109.2,3.6124866,1084.4741245269774,1084.4741245269774,1.0
35000,2.0124578,432.6666666666667,3.0993125,670.365863164266,670.365863164266,1.0
36000,1.8514465,186.66666666666666,6.2867975,1029.3853832880657,1029.3853832880657,1.0
37000,1.9122376,527.6666666666666,4.7473183,655.5244191487631,655.5244191487631,1.0
38000,1.8731697,47.666666666666664,3.897672,1092.2646814982097,1092.2646814982097,1.0
39000,1.9877503,219.625,3.8108058,906.0811657905579,906.0811657905579,1.0
40000,1.9322118,120.77777777777777,4.2038703,1074.80302672916,1074.80302672916,1.0
41000,2.0959268,999.0,3.4717088,-183.52418041229248,-183.52418041229248,1.0
42000,1.9207828,66.0,3.2006447,1060.4337577819824,1060.4337577819824,1.0
43000,1.9480883,507.0,3.2751462,463.9688718318939,463.9688718318939,1.0
44000,1.867543,508.5,7.1367035,457.4078748226166,457.4078748226166,1.0
45000,1.9918283,564.0,4.425515,459.2521514892578,459.2521514892578,1.0
46000,1.9978958,999.0,5.609323,-62.92058563232422,-62.92058563232422,1.0
47000,1.9925159,619.5,5.3616657,454.50393772125244,454.50393772125244,1.0
48000,1.9891584,319.25,5.817812,789.9211273193359,789.9211273193359,1.0
49000,2.033106,999.0,3.9765992,-127.45522975921631,-127.45522975921631,1.0
50000,1.882715,999.0,4.721832,-162.18863582611084,-162.18863582611084,1.0
51000,1.7644321,217.4,8.998842,811.6094161987305,811.6094161987305,1.0
52000,1.8024358,296.0,9.276588,1068.2903060913086,1068.2903060913086,1.0
53000,1.8986925,309.3333333333333,7.080123,821.4708795547485,821.4708795547485,1.0
54000,1.8142688,999.0,8.7111435,1110.6412200927734,1110.6412200927734,1.0
55000,1.8487058,107.28571428571429,7.447732,897.7625884413719,897.7625884413719,1.0
56000,1.7761686,595.0,7.8216195,1058.3348598480225,1058.3348598480225,1.0
57000,1.9290928,177.33333333333334,6.915944,870.1276503403982,870.1276503403982,1.0
58000,2.0049176,284.5,5.7646656,793.2013988494873,793.2013988494873,1.0
59000,2.0303984,264.4,6.115883,813.0023834228516,813.0023834228516,1.0
60000,1.9590974,372.6666666666667,5.370639,500.88847279548645,500.88847279548645,1.0
61000,1.8240619,57.0,6.9024596,1083.5182309831891,1083.5182309831891,1.0
62000,1.9102403,556.0,5.4375424,482.6127858161926,482.6127858161926,1.0
63000,1.9378394,999.0,5.2182856,-189.33359241485596,-189.33359241485596,1.0
64000,1.7600192,97.75,8.499109,1064.5160658359528,1064.5160658359528,1.0
65000,1.8215032,147.25,7.880445,1075.5377624034882,1075.5377624034882,1.0
66000,1.4107243,83.8,11.278419,1057.9365270614624,1057.9365270614624,1.0
67000,1.6050216,337.75,10.4455,761.4664295911789,761.4664295911789,1.0
68000,1.5722736,219.5,11.415763,1018.4181177616119,1018.4181177616119,1.0
69000,1.782907,92.78947368421052,9.281783,1001.7924354703803,1001.7924354703803,1.0
70000,1.8486301,240.5,6.9058313,1022.2311391830444,1022.2311391830444,1.0
71000,1.7425113,72.5,9.595097,1004.211931922219,1004.211931922219,1.0
72000,1.7577009,63.857142857142854,10.31039,1078.442375455584,1078.442375455584,1.0
73000,1.4064618,69.36363636363636,12.486393,1075.1505180705678,1075.1505180705678,1.0
74000,1.357765,999.0,14.083667,-126.78156423568726,-126.78156423568726,1.0
75000,1.682414,509.0,9.887396,501.3649625778198,501.3649625778198,1.0
76000,1.5494244,511.0,13.313005,450.6312065124512,450.6312065124512,1.0
77000,1.787266,128.0,9.780762,1030.5648587544758,1030.5648587544758,1.0
78000,1.8008128,150.1,10.6774645,939.4139056682586,939.4139056682586,1.0
79000,1.8463823,90.0,10.685461,1061.0270388466972,1061.0270388466972,1.0
80000,1.85385,344.3333333333333,9.736792,677.4111456871033,677.4111456871033,1.0
81000,1.7574967,189.83333333333334,12.0255165,846.8655261993408,846.8655261993408,1.0
82000,1.6546141,999.0,9.979343,-216.71765232086182,-216.71765232086182,1.0
83000,1.2991458,507.0,18.420656,502.34827280044556,502.34827280044556,1.0
84000,1.8196174,204.5,11.339664,1056.8703179359436,1056.8703179359436,1.0
85000,1.6733258,237.4,11.236604,859.1425539016724,859.1425539016724,1.0
86000,1.6826313,536.0,11.600393,456.47344398498535,456.47344398498535,1.0
87000,1.7880542,274.5,11.194207,806.4423952102661,806.4423952102661,1.0
88000,1.2060548,513.0,21.260231,-120.08430671691895,-120.08430671691895,1.0
89000,1.6843534,16.5,12.639765,1047.8850504557292,1047.8850504557292,1.0
90000,1.8091549,345.3333333333333,9.459426,658.7387727101644,658.7387727101644,1.0
91000,1.4095827,999.0,17.647102,-183.5967607498169,-183.5967607498169,1.0
92000,1.7767729,364.6666666666667,10.460861,708.4417877197266,708.4417877197266,1.0
93000,1.842701,373.6666666666667,11.220407,677.3469734191895,677.3469734191895,1.0
94000,1.6000389,264.0,15.950143,769.3506952524185,769.3506952524185,1.0
95000,1.5440274,999.0,15.2236805,-153.06635856628418,-153.06635856628418,1.0
96000,1.6083809,365.3333333333333,13.022472,645.5107618967692,645.5107618967692,1.0
97000,1.6106305,285.2,14.899894,791.4458198547363,791.4458198547363,1.0
98000,1.6397661,282.25,10.37896,724.7832644780477,724.7832644780477,1.0
99000,1.5777313,81.2,14.272793,1074.6436882019043,1074.6436882019043,1.0
100000,1.3940631,999.0,16.507288,-40.18793964385986,-40.18793964385986,1.0
101000,1.5245427,389.75,17.454304,673.3373657862345,673.3373657862345,1.0
102000,1.7778413,200.25,14.721819,1061.9236007690429,1061.9236007690429,1.0
103000,1.666652,506.5,10.764353,518.9012496471405,518.9012496471405,1.0
104000,1.4395684,999.0,18.517471,-157.3454122543335,-157.3454122543335,1.0
105000,1.6438887,999.0,13.127206,-117.39523983001709,-117.39523983001709,1.0
106000,1.7807186,195.16666666666666,13.919864,859.6019016265869,859.6019016265869,1.0
107000,1.7053514,67.33333333333333,13.910205,1052.1089085170202,1052.1089085170202,1.0
108000,1.4545139,399.25,16.529114,1105.5518175760906,1105.5518175760906,1.0
109000,1.6857297,28.0,15.487342,1070.321149635315,1070.321149635315,1.0
110000,1.033965,396.0,20.923834,687.1088390350342,687.1088390350342,1.0
111000,1.3312532,150.85714285714286,22.343601,880.3632963725498,880.3632963725498,1.0
112000,1.1883224,509.5,21.754412,421.30907702445984,421.30907702445984,1.0
113000,0.8633385,999.0,25.146648,-127.09341239929199,-127.09341239929199,1.0
114000,1.2739651,262.0,22.503242,781.3676234483719,781.3676234483719,1.0
115000,1.2047788,352.3333333333333,23.200155,686.5792525609335,686.5792525609335,1.0
116000,1.1608274,139.44444444444446,23.749529,961.8315530353123,961.8315530353123,1.0
117000,1.2782649,999.0,22.667248,-62.15984773635864,-62.15984773635864,1.0
