Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.098465,499.5,0.0012103128,10.0,10.0,1.0
2000,1.0979357,999.0,0.028211804,-99.9099793434143,-99.9099793434143,1.0
3000,1.0985267,999.0,-0.39946055,-99.9099793434143,-99.9099793434143,1.0
4000,1.0981128,999.0,-0.60735977,-99.9099793434143,-99.9099793434143,1.0
5000,1.088006,999.0,-1.168918,-99.9099793434143,-99.9099793434143,1.0
6000,1.0958982,999.0,-1.0089703,-99.91997957229614,-99.91997957229614,1.0
7000,1.0824773,162.0,-1.5630099,-53.10498833656311,-53.10498833656311,1.0
8000,1.0496435,700.0,-0.43298015,-65.04998564720154,-65.04998564720154,1.0
9000,1.0086489,999.0,-0.011658967,-99.9099793434143,-99.9099793434143,1.0
10000,1.0343803,624.5,-0.27803862,-57.45498704910278,-57.45498704910278,1.0
11000,1.0326935,999.0,-0.5487885,-99.9099793434143,-99.9099793434143,1.0
12000,1.0190212,500.0,-2.1091113,-40.009989738464355,-40.009989738464355,1.0
13000,1.0350112,999.0,-1.970182,-99.91997957229614,-99.91997957229614,1.0
14000,1.040044,495.0,-1.6175828,-39.546656449635826,-39.546656449635826,1.0
15000,1.0084581,999.0,-2.8270392,-99.94997954368591,-99.94997954368591,1.0
16000,1.0133532,885.0,-1.9480966,-78.5499815940857,-78.5499815940857,1.0
17000,0.95317537,578.0,-1.8028079,-47.8299880027771,-47.8299880027771,1.0
18000,1.0365888,999.0,-2.1411076,-99.95997953414917,-99.95997953414917,1.0
19000,0.9871485,999.0,-1.534806,-99.95997953414917,-99.95997953414917,1.0
20000,0.935145,542.0,-1.838606,-44.25498938560486,-44.25498938560486,1.0
21000,0.9860416,999.0,-4.352101,-99.9999794960022,-99.9999794960022,1.0
22000,1.0435818,164.0,-0.69464356,-6.40999698638916,-6.40999698638916,1.0
23000,0.85552657,666.0,-1.1861358,-61.65498661994934,-61.65498661994934,1.0
24000,1.0177112,999.0,-0.905948,-99.9999794960022,-99.9999794960022,1.0
25000,0.98229885,999.0,-2.1879454,-99.9999794960022,-99.9999794960022,1.0
26000,0.9868839,969.0,-4.07478,-86.92997932434082,-86.92997932434082,1.0
27000,0.9969666,590.0,-3.409071,-54.0249879360199,-54.0249879360199,1.0
28000,0.61217195,705.5,-3.0496597,-75.14998245239258,-75.14998245239258,1.0
29000,0.97356546,999.0,-5.316551,-46.03998851776123,-46.03998851776123,1.0
30000,0.7252629,672.0,-3.404562,-78.59998309612274,-78.59998309612274,1.0
31000,0.9394282,621.5,-4.143593,-52.224987506866455,-52.224987506866455,1.0
32000,0.9131316,999.0,-5.011469,-99.96997952461243,-99.96997952461243,1.0
33000,0.7576314,438.0,-1.8592035,-33.809990882873535,-33.809990882873535,1.0
34000,0.98417753,567.0,-1.8977531,-51.714988470077515,-51.714988470077515,1.0
35000,0.9968037,999.0,-1.7931972,-99.91997957229614,-99.91997957229614,1.0
36000,0.71570235,598.0,-2.4122608,-54.82998776435852,-54.82998776435852,1.0
37000,0.73390704,589.0,-5.433196,-48.90998816490173,-48.90998816490173,1.0
38000,0.7851419,284.3333333333333,-3.715251,-18.47666072845459,-18.47666072845459,1.0
39000,0.9792122,999.0,-2.5672617,-99.9999794960022,-99.9999794960022,1.0
40000,0.93439734,999.0,-3.0640688,-99.9999794960022,-99.9999794960022,1.0
41000,0.89780605,999.0,-2.203039,-99.9999794960022,-99.9999794960022,1.0
42000,0.8945786,499.5,-2.4981065,-44.9999897480011,-44.9999897480011,1.0
43000,0.82729113,999.0,-2.4396198,-99.9099793434143,-99.9099793434143,1.0
44000,0.8903259,999.0,-4.310652,-99.9099793434143,-99.9099793434143,1.0
45000,0.838347,719.0,-4.8949866,-61.98998546600342,-61.98998546600342,1.0
46000,0.955017,623.5,-3.7434616,-57.40498733520508,-57.40498733520508,1.0
47000,1.0369059,999.0,-4.73695,-99.91997957229614,-99.91997957229614,1.0
48000,0.9601779,999.0,-4.73192,-99.91997957229614,-99.91997957229614,1.0
49000,0.7159956,618.0,-3.2092524,-51.85998773574829,-51.85998773574829,1.0
50000,0.72092813,813.0,-3.9942436,-76.35498321056366,-76.35498321056366,1.0
51000,0.59143883,582.0,-5.2986574,-48.23998737335205,-48.23998737335205,1.0
52000,0.9351957,434.5,-5.082404,-33.51999115943909,-33.51999115943909,1.0
53000,1.0427873,999.0,-5.3345804,-99.98997950553894,-99.98997950553894,1.0
54000,0.77371114,999.0,-5.5774884,-99.98997950553894,-99.98997950553894,1.0
55000,0.6652733,472.3333333333333,-4.8966923,-37.2966570854187,-37.2966570854187,1.0
56000,0.46803704,553.5,-6.2201977,-45.399988651275635,-45.399988651275635,1.0
57000,0.673858,482.0,-5.8827276,-38.25999069213867,-38.25999069213867,1.0
58000,0.89919215,726.0,-4.746985,-67.6599851846695,-67.6599851846695,1.0
59000,0.9613037,999.0,-6.482654,-99.95997953414917,-99.95997953414917,1.0
60000,0.64270073,999.0,-2.6674333,-99.95997953414917,-99.95997953414917,1.0
61000,0.9947991,999.0,-5.8630266,-99.95997953414917,-99.95997953414917,1.0
62000,0.3283562,404.0,-6.056802,-30.429991722106934,-30.429991722106934,1.0
63000,0.5388768,380.5,-4.7315493,-28.074992179870605,-28.074992179870605,1.0
64000,0.5925178,724.5,-3.9087505,-67.48998510837555,-67.48998510837555,1.0
65000,0.27588212,174.25,-5.365137,-7.47749662399292,-7.47749662399292,1.0
66000,0.9286024,482.0,-5.1393867,-38.25999069213867,-38.25999069213867,1.0
67000,0.79532826,708.5,-6.1998796,-65.89998543262482,-65.89998543262482,1.0
68000,0.6074244,612.0,-5.9255104,-56.24498748779297,-56.24498748779297,1.0
69000,0.33666632,411.6666666666667,-5.983907,-31.203325112660725,-31.203325112660725,1.0
70000,0.27758121,309.3333333333333,-6.1530166,-20.98666000366211,-20.98666000366211,1.0
71000,0.65045685,999.0,-3.457696,-99.94997954368591,-99.94997954368591,1.0
72000,0.94268095,999.0,-5.395443,-99.94997954368591,-99.94997954368591,1.0
73000,1.0271424,256.0,-6.9466796,-15.679994583129883,-15.679994583129883,1.0
74000,0.37667516,427.25,-6.4155064,-35.31499141454697,-35.31499141454697,1.0
75000,0.28719968,289.5,-6.301515,-14.65332841873169,-14.65332841873169,1.0
76000,0.36184314,336.3333333333333,-6.473866,-25.156659444173176,-25.156659444173176,1.0
77000,0.6752787,254.0,-6.175972,-19.50666093826294,-19.50666093826294,1.0
78000,0.5674044,746.0,-6.20368,-99.91997957229614,-99.91997957229614,1.0
79000,0.3511543,461.0,-6.5240684,-37.213323752085365,-37.213323752085365,1.0
80000,0.75574785,185.0,-6.1375947,-8.523329893747965,-8.523329893747965,1.0
81000,0.61163515,999.0,-6.4076614,-99.91997957229614,-99.91997957229614,1.0
82000,0.53731257,300.0,-6.6459494,-20.06999397277832,-20.06999397277832,1.0
83000,0.98565257,999.0,-6.8833094,-99.9999794960022,-99.9999794960022,1.0
84000,0.76232684,611.5,-4.699562,-56.23998761177063,-56.23998761177063,1.0
85000,0.36813274,299.3333333333333,-6.0345535,-19.97332763671875,-19.97332763671875,1.0
86000,0.83275026,999.0,-6.0459666,-99.98997950553894,-99.98997950553894,1.0
87000,0.14147536,300.6666666666667,-6.420868,-20.106660842895508,-20.106660842895508,1.0
88000,0.1669598,411.3333333333333,-6.297477,-31.179991563161213,-31.179991563161213,1.0
89000,1.0080891,999.0,-6.6978426,-99.91997957229614,-99.91997957229614,1.0
90000,0.088838995,466.0,-7.1618004,-36.63999080657959,-36.63999080657959,1.0
91000,0.68452626,185.0,-8.056563,-8.546662966410318,-8.546662966410318,1.0
92000,0.6626242,674.0,-8.229016,-62.45498609542847,-62.45498609542847,1.0
93000,0.7293876,541.0,-5.1535444,-49.114989042282104,-49.114989042282104,1.0
94000,0.6423097,395.0,-6.070241,-29.55999183654785,-29.55999183654785,1.0
95000,0.81848156,625.5,-6.85651,-57.62998712062836,-57.62998712062836,1.0
96000,1.0915854,999.0,-9.479357,-99.9999794960022,-99.9999794960022,1.0
97000,0.62297803,678.5,-7.9679604,-62.94498610496521,-62.94498610496521,1.0
98000,0.12907489,358.6666666666667,-5.8083143,-21.374993562698364,-21.374993562698364,1.0
99000,0.07652816,351.0,-6.3061132,-28.416659037272137,-28.416659037272137,1.0
100000,0.4985346,347.0,-5.9617443,-24.76999282836914,-24.76999282836914,1.0
101000,0.52980673,732.0,-5.9689527,-68.25998520851135,-68.25998520851135,1.0
102000,0.8809504,999.0,-7.842664,-99.96997952461243,-99.96997952461243,1.0
103000,0.06746862,319.6666666666667,-6.041273,-22.00666030248006,-22.00666030248006,1.0
104000,0.086127475,278.0,-7.186995,-17.81999444961548,-17.81999444961548,1.0
105000,0.74815005,485.0,-6.286003,-38.58998966217041,-38.58998966217041,1.0
106000,0.49368322,504.3333333333333,-6.5087547,-43.8199896812439,-43.8199896812439,1.0
107000,0.6486528,999.0,-6.9605265,-99.94997954368591,-99.94997954368591,1.0
108000,0.70822597,256.6666666666667,-8.015393,-15.71666145324707,-15.71666145324707,1.0
109000,0.8786549,999.0,-8.415775,-99.91997957229614,-99.91997957229614,1.0
110000,0.83039343,999.0,-6.007321,-99.91997957229614,-99.91997957229614,1.0
111000,0.41519275,731.5,-6.0765,-68.18998503684998,-68.18998503684998,1.0
112000,0.034448143,452.0,-6.8041234,-35.249990701675415,-35.249990701675415,1.0
113000,0.7894791,256.0,-6.7114215,-15.6199951171875,-15.6199951171875,1.0
114000,0.28314587,548.6666666666666,-6.4301705,-48.249988873799644,-48.249988873799644,1.0
115000,0.65138453,999.0,-6.5647626,-99.9999794960022,-99.9999794960022,1.0
116000,0.69258547,485.0,-7.2171173,-38.53998947143555,-38.53998947143555,1.0
117000,0.24502344,420.5,-6.4531493,-34.5824915766716,-34.5824915766716,1.0
118000,0.35722804,308.0,-6.866132,-20.889993906021118,-20.889993906021118,1.0
119000,0.461223,661.5,-5.92842,-61.22498631477356,-61.22498631477356,1.0
120000,0.4258071,402.0,-7.381707,-30.239992141723633,-30.239992141723633,1.0
121000,0.913682,999.0,-9.294001,-99.97997951507568,-99.97997951507568,1.0
122000,0.56054056,661.5,-6.028342,-61.19498634338379,-61.19498634338379,1.0
123000,0.23741348,406.5,-7.4772935,-30.69499158859253,-30.69499158859253,1.0
124000,0.7566255,606.0,-7.856025,-55.664987683296204,-55.664987683296204,1.0
125000,0.06728177,246.66666666666666,-7.271922,-14.716661930084229,-14.716661930084229,1.0
126000,0.29420292,310.3333333333333,-6.9944606,-21.07666079203288,-21.07666079203288,1.0
127000,0.5498115,999.0,-6.2080946,-99.91997957229614,-99.91997957229614,1.0
128000,0.60823655,306.0,-7.065935,-20.66499352455139,-20.66499352455139,1.0
129000,0.3798977,549.3333333333334,-6.341588,-48.303322076797485,-48.303322076797485,1.0
130000,1.0100228,539.0,-10.499964,-99.95997953414917,-99.95997953414917,1.0
131000,0.24945821,346.0,-7.76139,-15.739995002746582,-15.739995002746582,1.0
132000,0.66247296,400.3333333333333,-7.2220798,-33.433325131734215,-33.433325131734215,1.0
133000,0.040458404,272.3333333333333,-6.074898,-17.266661326090496,-17.266661326090496,1.0
134000,0.05123539,308.75,-5.7281923,-20.922493815422058,-20.922493815422058,1.0
135000,0.010268793,385.0,-6.7291327,-28.51999282836914,-28.51999282836914,1.0
136000,0.02094442,337.3333333333333,-6.116984,-23.77999273935954,-23.77999273935954,1.0
137000,0.24178319,339.3333333333333,-6.287412,-23.9533265431722,-23.9533265431722,1.0
138000,0.7527951,999.0,-7.5283146,-99.91997957229614,-99.91997957229614,1.0
139000,0.3931069,264.3333333333333,-7.665346,-16.47332763671875,-16.47332763671875,1.0
140000,0.9371817,999.0,-8.305577,-99.9099793434143,-99.9099793434143,1.0
141000,1.043722,999.0,-8.723154,-99.9099793434143,-99.9099793434143,1.0
142000,0.60515696,999.0,-9.210448,-99.9099793434143,-99.9099793434143,1.0
143000,0.78138345,485.0,-7.6343064,-38.53998947143555,-38.53998947143555,1.0
144000,0.38899735,551.3333333333334,-7.485272,-48.51332211494446,-48.51332211494446,1.0
145000,0.7206269,999.0,-8.342383,-99.91997957229614,-99.91997957229614,1.0
146000,0.59187126,235.0,-8.411607,-13.539995193481445,-13.539995193481445,1.0
147000,0.45811233,660.5,-7.634918,-61.12498641014099,-61.12498641014099,1.0
148000,0.025626577,270.6666666666667,-6.7194557,-17.083327929178875,-17.083327929178875,1.0
149000,0.0149800535,332.6666666666667,-8.141056,-23.339993000030518,-23.339993000030518,1.0
150000,0.6903989,730.5,-6.9346585,-36.25999069213867,-36.25999069213867,1.0
151000,0.039946195,263.6666666666667,-6.696023,-37.31499069929123,-37.31499069929123,1.0
152000,0.022398671,405.0,-6.9436345,-30.549992084503174,-30.549992084503174,1.0
153000,0.43590486,333.5,-7.2509785,-23.39999294281006,-23.39999294281006,1.0
154000,0.27743497,706.0,-5.8633385,-65.67998552322388,-65.67998552322388,1.0
155000,0.0250122,400.6666666666667,-6.827177,-30.076658884684246,-30.076658884684246,1.0
156000,0.024815798,258.0,-6.6027145,-15.84666140874227,-15.84666140874227,1.0
157000,0.07049473,290.5,-6.8532643,-19.12749409675598,-19.12749409675598,1.0
158000,0.025963325,376.3333333333333,-6.2640486,-27.693325519561768,-27.693325519561768,1.0
159000,0.57362187,355.0,-7.4806027,-25.52999210357666,-25.52999210357666,1.0
160000,0.96697104,999.0,-7.7349663,-99.93997955322266,-99.93997955322266,1.0
161000,0.7742898,603.5,-8.185066,-55.409987449645996,-55.409987449645996,1.0
162000,0.5684175,643.5,-7.552053,-59.39998710155487,-59.39998710155487,1.0
163000,0.041973263,256.0,-5.9803715,-15.663328170776367,-15.663328170776367,1.0
164000,0.35543925,250.75,-6.739673,-15.137495040893555,-15.137495040893555,1.0
165000,0.6093605,643.5,-6.8431263,-59.43998694419861,-59.43998694419861,1.0
166000,0.19954842,272.0,-6.662475,-17.266660849253338,-17.266660849253338,1.0
167000,0.5949419,999.0,-6.285549,-99.93997955322266,-99.93997955322266,1.0
168000,0.1883547,368.3333333333333,-7.296412,-26.86665916442871,-26.86665916442871,1.0
169000,0.8980239,515.5,-8.836224,-46.62998974323273,-46.62998974323273,1.0
170000,0.04584516,232.6,-5.262052,-15.962494730949402,-15.962494730949402,1.0
171000,0.62602806,438.0,-8.719149,-18.304994344711304,-18.304994344711304,1.0
172000,0.48351184,706.0,-7.808202,-65.67998552322388,-65.67998552322388,1.0
173000,0.8570097,158.0,-8.47233,-5.849997043609619,-5.849997043609619,1.0
174000,0.22338827,431.25,-6.5489225,-35.65749108791351,-35.65749108791351,1.0
175000,0.59806466,386.0,-7.5679736,-28.61999225616455,-28.61999225616455,1.0
176000,0.31912112,524.6666666666666,-6.0638337,-45.83998958269755,-45.83998958269755,1.0
177000,0.01468293,237.75,-6.3956165,-13.809995412826538,-13.809995412826538,1.0
178000,0.0015664698,473.5,-4.2603474,-37.39999055862427,-37.39999055862427,1.0
179000,0.15093577,339.0,-6.777064,-23.96332613627116,-23.96332613627116,1.0
180000,0.9050257,999.0,-7.97433,-99.9999794960022,-99.9999794960022,1.0
181000,0.77814585,999.0,-7.5057936,-99.9999794960022,-99.9999794960022,1.0
182000,0.0021953466,451.0,-4.459464,-35.124990463256836,-35.124990463256836,1.0
183000,0.021334598,299.75,-5.7385273,-20.03749418258667,-20.03749418258667,1.0
184000,0.013080514,232.25,-5.517326,-13.259995222091675,-13.259995222091675,1.0
185000,0.49390528,439.0,-6.6624126,-33.93999004364014,-33.93999004364014,1.0
186000,1.015048,999.0,-8.383717,-99.94997954368591,-99.94997954368591,1.0
187000,0.33488086,523.0,-6.529377,-45.69665598869324,-45.69665598869324,1.0
188000,0.012199761,250.66666666666666,-5.881523,-15.12332852681478,-15.12332852681478,1.0
189000,0.002368831,376.0,-5.229111,-27.663325627644856,-27.663325627644856,1.0
190000,0.0047384254,351.3333333333333,-6.515887,-25.193326155344646,-25.193326155344646,1.0
191000,0.0013177494,411.5,-6.391272,-31.204991817474365,-31.204991817474365,1.0
192000,0.32621154,463.0,-5.3790245,-36.309990882873535,-36.309990882873535,1.0
193000,0.5202803,642.5,-5.9375157,-59.299986600875854,-59.299986600875854,1.0
194000,0.021050509,200.6,-5.157406,-10.135996246337891,-10.135996246337891,1.0
195000,0.006193027,319.3333333333333,-6.1180882,-21.969993750254314,-21.969993750254314,1.0
196000,0.0023585062,351.6666666666667,-6.3910894,-25.203326384226482,-25.203326384226482,1.0
197000,0.008448931,354.6666666666667,-5.587803,-25.503326257069904,-25.503326257069904,1.0
198000,0.009097945,265.0,-6.444045,-16.56332794825236,-16.56332794825236,1.0
199000,1.0222318,322.0,-8.746383,-22.209993362426758,-22.209993362426758,1.0
200000,0.053216264,460.25,-5.926611,-38.58749067783356,-38.58749067783356,1.0
201000,0.019674005,222.25,-6.1934023,-12.282495498657227,-12.282495498657227,1.0
