Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.8900776,22.0,-0.1590111,9.779999732971191,9.779999732971191,1.0
2000,2.8900058,184.0,-0.17355368,8.15999948978424,8.15999948978424,1.0
3000,2.8852978,364.0,-0.18064338,6.351000368595123,6.351000368595123,1.0
4000,2.8833532,None,-0.1727329,None,None,1.0
5000,2.8818173,370.0,-0.17900243,6.297499239444733,6.297499239444733,1.0
6000,2.8820562,110.0,-0.16520011,8.898000061511993,8.898000061511993,1.0
7000,2.8798506,768.0,-0.14760348,2.3129994869232178,2.3129994869232178,1.0
8000,2.876275,348.5,-0.08939423,6.509500086307526,6.509500086307526,1.0
9000,2.8757217,649.5,-0.07132722,-3.0565719604492188,-3.0565719604492188,1.0
10000,2.8715708,139.0,-0.022308176,8.759000182151794,8.759000182151794,1.0
11000,2.8711648,165.0,-0.069525726,8.34499990940094,8.34499990940094,1.0
12000,2.8600113,507.0,0.08621072,4.924999564886093,4.924999564886093,1.0
13000,2.8606102,205.0,0.08914253,7.94400018453598,7.94400018453598,1.0
14000,2.8490922,587.0,0.10697991,4.127499729394913,4.127499729394913,1.0
15000,2.8476155,496.3333333333333,0.11445351,5.032333334287007,5.032333334287007,1.0
16000,2.8532217,205.0,0.23084608,7.94299978017807,7.94299978017807,1.0
17000,2.8514538,None,0.22396336,None,None,1.0
18000,2.841643,516.6666666666666,0.23788977,1.4953330953915913,1.4953330953915913,1.0
19000,2.8361878,568.5,0.22931284,-0.690000593662262,-0.690000593662262,1.0
20000,2.837491,360.0,0.1439985,6.391999781131744,6.391999781131744,1.0
21000,2.838903,633.0,0.10661946,-9.992000699043274,-9.992000699043274,1.0
22000,2.8248105,None,0.11785641,7.323000192642212,7.323000192642212,1.0
23000,2.8201692,577.0,0.116572894,-0.7750002145767212,-0.7750002145767212,1.0
24000,2.8175619,548.5,0.07945879,-0.48650045692920685,-0.48650045692920685,1.0
25000,2.8161573,886.5,0.0870333,-3.8715008944272995,-3.8715008944272995,1.0
26000,2.8087237,427.5,0.09031333,5.720499873161316,5.720499873161316,1.0
27000,2.8016272,663.0,0.14519437,0.03333253661791483,0.03333253661791483,1.0
28000,2.8034034,429.0,0.14945541,5.706000208854675,5.706000208854675,1.0
29000,2.804177,677.0,0.1360887,-1.7780004441738129,-1.7780004441738129,1.0
30000,2.7989874,746.0,0.19318634,None,None,1.0
31000,2.7833557,None,0.18335074,2.5319990515708923,2.5319990515708923,1.0
32000,2.7832873,818.0,0.13822988,-3.183500587940216,-3.183500587940216,1.0
33000,2.7796104,None,0.055114098,None,None,1.0
34000,2.775391,432.0,0.03427889,5.678998827934265,5.678998827934265,1.0
35000,2.767704,689.0,-0.021050371,-1.8935006856918335,-1.8935006856918335,1.0
36000,2.7716322,701.0,0.022702472,-0.3456672430038452,-0.3456672430038452,1.0
37000,2.7215521,937.5,0.1537236,-4.37750044465065,-4.37750044465065,1.0
38000,2.7344666,603.0,0.1786713,-3.2070006728172302,-3.2070006728172302,1.0
39000,2.7399542,145.5,0.08407326,8.460333466529846,8.460333466529846,1.0
40000,2.734396,276.6666666666667,0.08898926,7.229000012079875,7.229000012079875,1.0
41000,2.755952,398.0,0.24545108,6.017499655485153,6.017499655485153,1.0
42000,2.7631605,98.0,0.23026401,9.017999947071075,9.017999947071075,1.0
43000,2.7460213,None,0.23593171,None,None,1.0
44000,2.7481678,999.0,0.24868786,-9.994000732898712,-9.994000732898712,1.0
45000,2.7544127,555.0,0.15912023,-0.5555002987384796,-0.5555002987384796,1.0
46000,2.7580688,432.6666666666667,0.13188446,5.6666666467984514,5.6666666467984514,1.0
47000,2.76155,535.5,0.22815259,4.6419997215271,4.6419997215271,1.0
