Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.8901088,-0.10966892,82.5,-37.62500071525574,-37.62500071525574,1.0
2000,2.889891,-0.09753336,None,None,None,1.0
3000,2.8837996,-0.50338167,224.0,-122.82999801635742,-122.82999801635742,1.0
4000,2.8831391,-0.5764533,None,None,None,1.0
5000,2.8637426,-0.857325,None,None,None,1.0
6000,2.852243,-1.2565355,None,None,None,1.0
7000,2.8255994,-1.363389,709.0,-363.439980506897,-363.439980506897,1.0
8000,2.800187,-1.9959778,459.5,-477.5699701309204,-477.5699701309204,1.0
9000,2.795998,-2.0894296,751.8571428571429,-371.2185573577881,-371.2185573577881,1.0
10000,2.7642133,-2.6759639,291.0,-105.43999786376953,-105.43999786376953,1.0
11000,2.7538972,-2.6602745,None,None,None,1.0
12000,2.6930113,-3.200008,999.0,-437.9399757385254,-437.9399757385254,1.0
13000,2.6906178,-3.133499,288.6666666666667,-85.14666255315144,-85.14666255315144,1.0
14000,2.601413,-3.7004395,171.0,-36.09999656677246,-36.09999656677246,1.0
15000,2.5887816,-3.707249,66.0,-7.249998092651367,-7.249998092651367,1.0
16000,2.529714,-4.1687403,300.0,-66.4299955368042,-66.4299955368042,1.0
17000,2.5139039,-4.3746285,999.0,-298.97998428344727,-298.97998428344727,1.0
18000,2.4752665,-4.5987396,999.0,-265.99997568130493,-265.99997568130493,1.0
19000,2.4711056,-4.678689,999.0,-275.1599841117859,-275.1599841117859,1.0
20000,2.4293764,-4.7984853,49.0,3.1000008583068848,3.1000008583068848,1.0
21000,2.41508,-4.7180223,595.6666666666666,-117.75332609812419,-117.75332609812419,1.0
22000,2.383648,-4.972246,None,None,None,1.0
23000,2.4036982,-5.0083747,None,None,None,1.0
24000,2.374112,-4.988965,503.5,-105.75999546051025,-105.75999546051025,1.0
25000,2.3605318,-5.020173,None,None,None,1.0
26000,2.368475,-5.0685234,625.0,-23.419997215270996,-23.419997215270996,1.0
27000,2.3338947,-5.2789073,999.0,-162.48998999595642,-162.48998999595642,1.0
28000,2.312368,-5.3229513,999.0,-180.44998931884766,-180.44998931884766,1.0
29000,2.28578,-5.6385994,999.0,-166.9099907875061,-166.9099907875061,1.0
30000,2.2907426,-5.4508643,999.0,-152.626655737559,-152.626655737559,1.0
31000,2.2750797,-5.80779,None,None,None,1.0
32000,2.2833447,-5.738367,495.0,-57.49999189376831,-57.49999189376831,1.0
33000,2.2412899,-5.810527,None,None,None,1.0
34000,2.244902,-5.663074,852.0,-97.8499903678894,-97.8499903678894,1.0
35000,2.1991532,-6.0254908,874.5,-115.46499228477478,-115.46499228477478,1.0
36000,2.1999333,-5.9772873,746.0,-91.57999324798584,-91.57999324798584,1.0
37000,2.1356528,-6.3375387,999.0,-134.9599895477295,-134.9599895477295,1.0
38000,2.1287286,-6.4464073,None,-141.90998792648315,-141.90998792648315,1.0
39000,2.117706,-6.479072,999.0,-121.43998789787292,-121.43998789787292,1.0
40000,2.1227176,-6.5051565,683.0,-64.16998767852783,-64.16998767852783,1.0
41000,2.1134696,-6.6358213,999.0,-112.9099850654602,-112.9099850654602,1.0
42000,2.1219983,-6.380666,None,None,None,1.0
43000,2.119133,-6.3759103,None,None,None,1.0
44000,2.1119,-6.457608,999.0,-118.41998517513275,-118.41998517513275,1.0
