Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.8897657,-0.006304996,225.25,-12.569995522499084,-12.569995522499084,1.0
2000,2.8897636,-0.009551467,999.0,-99.98997950553894,-99.98997950553894,1.0
3000,2.8845348,-0.20511031,346.0,-24.629992802937824,-24.629992802937824,1.0
4000,2.883869,-0.23191115,193.0,-9.339996099472046,-9.339996099472046,1.0
5000,2.88393,-0.38985875,312.5,-23.787493765354156,-23.787493765354156,1.0
6000,2.8841286,-0.41577652,114.8,-1.517997646331787,-1.517997646331787,1.0
7000,2.8756762,-0.5776674,584.5,-48.48998832702637,-48.48998832702637,1.0
8000,2.8740902,-0.6192023,309.75,-21.022493481636047,-21.022493481636047,1.0
9000,2.8693268,-0.7992127,276.0,-17.65999444325765,-17.65999444325765,1.0
10000,2.866764,-0.881221,402.0,-30.27999210357666,-30.27999210357666,1.0
11000,2.8593972,-0.96469957,428.0,-35.354991137981415,-35.354991137981415,1.0
12000,2.854881,-1.0791523,372.6666666666667,-23.694993019104004,-23.694993019104004,1.0
13000,2.8479755,-1.1672413,362.0,-28.87999200820923,-28.87999200820923,1.0
14000,2.8353572,-1.2452306,407.3333333333333,-30.22332509358724,-30.22332509358724,1.0
15000,2.8300207,-1.3520234,488.5,-38.05998992919922,-38.05998992919922,1.0
16000,2.8174694,-1.4679244,518.0,-55.049986362457275,-55.049986362457275,1.0
17000,2.8095126,-1.5351273,300.0,-22.369993209838867,-22.369993209838867,1.0
18000,2.7985365,-1.6837169,473.6666666666667,-53.54998791217804,-53.54998791217804,1.0
19000,2.792128,-1.7080032,483.0,-26.7749924659729,-26.7749924659729,1.0
20000,2.7761426,-1.9101238,999.0,-99.9999794960022,-99.9999794960022,1.0
21000,2.7661655,-1.9299779,463.5,-36.41499066352844,-36.41499066352844,1.0
22000,2.7432494,-2.1524339,594.0,-47.69998836517334,-47.69998836517334,1.0
23000,2.755591,-2.1619072,261.42857142857144,-17.637137140546525,-17.637137140546525,1.0
24000,2.6993973,-2.3181772,999.0,-99.97997951507568,-99.97997951507568,1.0
25000,2.720197,-2.310976,124.75,-2.1062477231025696,-2.1062477231025696,1.0
26000,2.6490395,-2.4131773,179.83333333333334,-7.738329569498698,-7.738329569498698,1.0
27000,2.6661115,-2.424993,257.0,-15.789995193481445,-15.789995193481445,1.0
28000,2.6887398,-2.6172519,328.2,-22.88999366760254,-22.88999366760254,1.0
29000,2.6951597,-2.6460514,515.5,-46.59498965740204,-46.59498965740204,1.0
30000,2.6390584,-2.7471006,104.33333333333333,-0.49333132637871635,-0.49333132637871635,1.0
31000,2.6399417,-2.7591197,748.0,-61.54998445510864,-61.54998445510864,1.0
32000,2.604286,-2.693078,190.42857142857142,-9.092853341783796,-9.092853341783796,1.0
33000,2.6420243,-2.7017438,208.33333333333334,-10.843329270680746,-10.843329270680746,1.0
34000,2.5799668,-2.7725482,235.33333333333334,-15.233328501383463,-15.233328501383463,1.0
35000,2.5517094,-2.7800388,157.33333333333334,-5.756663719813029,-5.756663719813029,1.0
36000,2.5454984,-2.7247906,156.33333333333334,-5.6816636721293134,-5.6816636721293134,1.0
37000,2.4978273,-2.681411,291.6666666666667,-18.723327318827312,-18.723327318827312,1.0
38000,2.4316719,-2.6577654,246.8,-16.03249490261078,-16.03249490261078,1.0
39000,2.4641962,-2.7243361,147.66666666666666,-5.477139813559396,-5.477139813559396,1.0
40000,2.4424908,-2.7217941,113.4,-1.2866645918952093,-1.2866645918952093,1.0
41000,2.3742487,-2.7474453,996.0,-0.3999977111816406,-0.3999977111816406,1.0
42000,2.4066503,-2.7733269,188.0,-22.311660051345825,-22.311660051345825,1.0
43000,2.3477879,-2.7807307,148.57142857142858,-5.788330078125,-5.788330078125,1.0
44000,2.3576872,-2.7866259,337.0,-23.829992930094402,-23.829992930094402,1.0
45000,2.3600402,-2.8090236,118.16666666666667,-0.5514264787946429,-0.5514264787946429,1.0
46000,2.297034,-2.794988,232.0,-13.243995094299317,-13.243995094299317,1.0
47000,2.1718888,-2.7548473,206.75,-10.70749580860138,-10.70749580860138,1.0
48000,2.170325,-2.7325168,126.8,-2.9444419542948403,-2.9444419542948403,1.0
49000,2.160196,-2.6616764,130.42857142857142,-2.3899972438812256,-2.3899972438812256,1.0
50000,2.205704,-2.6443856,98.5,0.10125195980072021,0.10125195980072021,1.0
51000,2.0347073,-2.5375443,76.07142857142857,2.350001539502825,2.350001539502825,1.0
52000,2.0045524,-2.4956894,236.0,-13.656661669413248,-13.656661669413248,1.0
53000,1.9918056,-2.3455076,157.66666666666666,-5.633330186208089,-5.633330186208089,1.0
54000,2.0381863,-2.326658,98.77777777777777,0.07555739084879558,0.07555739084879558,1.0
55000,2.0885737,-2.2112706,188.66666666666666,-8.8583296140035,-8.8583296140035,1.0
56000,1.9286362,-2.1509235,72.38461538461539,2.726924566122202,2.726924566122202,1.0
57000,2.0413542,-2.0639277,149.71428571428572,-7.09999664624532,-7.09999664624532,1.0
58000,2.1677969,-2.046922,129.5,-0.5919979095458985,-0.5919979095458985,1.0
59000,2.130493,-2.1091304,135.0,-3.473997449874878,-3.473997449874878,1.0
60000,2.1005557,-2.1087267,306.3333333333333,-16.167494535446167,-16.167494535446167,1.0
61000,1.9495109,-2.0270348,139.83333333333334,-3.7766637007395425,-3.7766637007395425,1.0
62000,1.947088,-2.0215616,131.875,-3.0424973368644714,-3.0424973368644714,1.0
63000,1.8810555,-2.0172555,102.11111111111111,-0.2533313963148329,-0.2533313963148329,1.0
