Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.7915555,0.050407786,116.14285714285714,-414.328611101423,-414.328611101423,1.0
2000,1.791564,0.047373775,147.0,-626.3343470437186,-626.3343470437186,1.0
3000,1.7852826,-0.4858395,146.33333333333334,-425.3200407028198,-425.3200407028198,1.0
4000,1.7846955,-0.58137023,292.75,-627.0600802103678,-627.0600802103678,1.0
5000,1.7604809,-1.2442096,104.875,-508.6989507675171,-508.6989507675171,1.0
6000,1.7593212,-1.2791253,176.8,-523.6580581665039,-523.6580581665039,1.0
7000,1.7173678,-2.0121953,218.6,-584.2220630645752,-584.2220630645752,1.0
8000,1.7106671,-2.1748867,248.5,-647.6175770759583,-647.6175770759583,1.0
9000,1.6615858,-2.9441247,119.71428571428571,-280.0200296810695,-280.0200296810695,1.0
10000,1.6497481,-3.1351209,504.0,-1195.055124282837,-1195.055124282837,1.0
11000,1.6060688,-3.8096378,212.0,-313.05203399658205,-313.05203399658205,1.0
12000,1.5779815,-4.353522,127.57142857142857,-356.2900377511978,-356.2900377511978,1.0
13000,1.5466186,-4.946307,105.0,-193.54301595687866,-193.54301595687866,1.0
14000,1.529227,-5.342646,116.0,-214.66835403442383,-214.66835403442383,1.0
15000,1.5115554,-5.9086137,186.28571428571428,-362.69169155756634,-362.69169155756634,1.0
16000,1.4746482,-6.5032854,96.2,-162.4527418830178,-162.4527418830178,1.0
17000,1.4536755,-6.7337914,78.16666666666667,-120.39334185918172,-120.39334185918172,1.0
18000,1.420995,-7.2007413,184.0,-283.93202648162844,-283.93202648162844,1.0
19000,1.4118005,-7.546374,59.625,-101.70313203334808,-101.70313203334808,1.0
20000,1.3912623,-8.108022,121.0,-162.45001369052463,-162.45001369052463,1.0
21000,1.378454,-8.063276,179.6,-279.24002475738524,-279.24002475738524,1.0
22000,1.3412273,-8.644031,85.3076923076923,-127.49750769138336,-127.49750769138336,1.0
23000,1.3296642,-8.744285,103.55555555555556,-133.53401012420653,-133.53401012420653,1.0
24000,1.2935073,-8.968341,84.18181818181819,-112.77182514017278,-112.77182514017278,1.0
25000,1.2911326,-8.929895,115.25,-157.42750936746597,-157.42750936746597,1.0
26000,1.2424916,-9.275769,164.0,-226.9485878263201,-226.9485878263201,1.0
27000,1.2433237,-9.3734045,128.125,-161.63429771150862,-161.63429771150862,1.0
28000,1.2103984,-9.821487,202.0,-282.24402656555174,-282.24402656555174,1.0
29000,1.2140762,-9.867694,130.77777777777777,-170.8066806793213,-170.8066806793213,1.0
30000,1.1926769,-10.320669,83.72727272727273,-100.81636983698064,-100.81636983698064,1.0
31000,1.2026371,-10.49298,154.28571428571428,-205.47334957122803,-205.47334957122803,1.0
32000,1.1836506,-10.757395,103.42857142857143,-131.04876148700714,-131.04876148700714,1.0
33000,1.1866843,-10.696531,181.85714285714286,-191.63668330510458,-191.63668330510458,1.0
34000,1.14423,-11.193737,99.1,-154.81101174354552,-154.81101174354552,1.0
35000,1.1580586,-11.157031,94.44444444444444,-134.42400784492492,-134.42400784492492,1.0
36000,1.1459445,-11.350495,125.8,-150.27001056671142,-150.27001056671142,1.0
37000,1.114622,-11.617672,141.5,-169.86500763893127,-169.86500763893127,1.0
38000,1.1084393,-11.512334,51.7,-60.83631889443649,-60.83631889443649,1.0
39000,1.0893986,-11.702508,54.666666666666664,-65.51778364181519,-65.51778364181519,1.0
40000,1.0418727,-11.864326,46.476190476190474,-57.57714403243292,-57.57714403243292,1.0
41000,1.0182657,-12.116811,38.25,-42.761601486206054,-42.761601486206054,1.0
42000,0.9948036,-12.376176,76.64285714285714,-94.01769696749173,-94.01769696749173,1.0
43000,0.9730933,-12.348361,53.411764705882355,-64.17555777231853,-64.17555777231853,1.0
44000,0.9703506,-12.546883,65.53333333333333,-79.28000300725301,-79.28000300725301,1.0
45000,0.9997316,-12.385669,46.86363636363637,-56.8838111218952,-56.8838111218952,1.0
46000,0.9977277,-12.736324,52.63157894736842,-66.41210952558015,-66.41210952558015,1.0
47000,0.9780241,-12.911854,38.52,-37.2800005531311,-37.2800005531311,1.0
48000,0.9927866,-12.891338,34.642857142857146,-46.74678862094879,-46.74678862094879,1.0
49000,0.97546256,-13.240694,29.79310344827586,-31.55133488972982,-31.55133488972982,1.0
50000,0.9651524,-12.905905,39.370370370370374,-44.57296608112477,-44.57296608112477,1.0
51000,0.94435084,-13.333192,41.19047619047619,-46.61333411080496,-46.61333411080496,1.0
52000,0.9488105,-13.366102,38.11538461538461,-44.660770874757034,-44.660770874757034,1.0
53000,0.93049556,-13.604054,49.666666666666664,-58.202385062263126,-58.202385062263126,1.0
54000,0.93831277,-13.590351,49.35,-57.409004020690915,-57.409004020690915,1.0
55000,0.92465836,-13.907361,46.77272727272727,-53.107145195915585,-53.107145195915585,1.0
56000,0.9174753,-13.937021,35.48148148148148,-38.94370598263211,-38.94370598263211,1.0
57000,0.91106904,-14.086296,33.86206896551724,-42.22345003588446,-42.22345003588446,1.0
58000,0.9096632,-14.247841,51.26315789473684,-62.692108932294346,-62.692108932294346,1.0
59000,0.90948194,-14.33686,55.5,-68.46722653177049,-68.46722653177049,1.0
60000,0.8777199,-14.308777,31.5,-35.721291557435066,-35.721291557435066,1.0
61000,0.91646296,-14.357972,39.24,-47.20250322421392,-47.20250322421392,1.0
62000,0.9142276,-14.435231,39.6,-42.09680199623108,-42.09680199623108,1.0
63000,0.8904097,-14.556475,43.285714285714285,-50.424092715436764,-50.424092715436764,1.0
64000,0.8720282,-14.711345,42.916666666666664,-51.27565603670867,-51.27565603670867,1.0
65000,0.8967961,-14.905289,32.23076923076923,-34.867779643447314,-34.867779643447314,1.0
66000,0.8909673,-14.858487,54.04761904761905,-62.359503984451294,-62.359503984451294,1.0
67000,0.89320886,-15.094412,50.73684210526316,-64.53158268175628,-64.53158268175628,1.0
68000,0.90841717,-15.116028,27.82857142857143,-31.083143533979143,-31.083143533979143,1.0
69000,0.86670893,-15.194637,29.06896551724138,-29.733335987726846,-29.733335987726846,1.0
70000,0.867268,-15.594247,41.74074074074074,-43.34346298071054,-43.34346298071054,1.0
71000,0.8587853,-15.579135,36.11538461538461,-42.35307748501118,-42.35307748501118,1.0
72000,0.8600012,-15.645213,38.76,-48.079603080749514,-48.079603080749514,1.0
73000,0.8515989,-15.775132,44.142857142857146,-52.777730291539974,-52.777730291539974,1.0
74000,0.826078,-15.953881,37.5,-41.66115612250108,-41.66115612250108,1.0
75000,0.8427016,-15.738741,33.0625,-36.592583502492595,-36.592583502492595,1.0
76000,0.83968204,-16.124935,30.06451612903226,-29.35871167336741,-29.35871167336741,1.0
77000,0.8453096,-15.850895,30.7,-38.13613074056564,-38.13613074056564,1.0
78000,0.83900744,-15.816786,31.93548387096774,-35.883226656144664,-35.883226656144664,1.0
79000,0.8456335,-16.37004,35.964285714285715,-42.09703876354076,-42.09703876354076,1.0
80000,0.8230147,-16.279089,28.41176470588235,-29.38323694116929,-29.38323694116929,1.0
81000,0.8303838,-16.262514,31.266666666666666,-35.465484572995095,-35.465484572995095,1.0
82000,0.7990149,-16.681675,48.57142857142857,-57.505501770973204,-57.505501770973204,1.0
83000,0.7836937,-16.093157,28.02857142857143,-29.6374299458095,-29.6374299458095,1.0
84000,0.7862736,-16.660578,33.464285714285715,-38.136430399758474,-38.136430399758474,1.0
85000,0.7925087,-16.703526,37.48,-43.99461682026203,-43.99461682026203,1.0
86000,0.7549482,-16.87049,27.97222222222222,-29.815714618137903,-29.815714618137903,1.0
87000,0.74637735,-16.832376,31.419354838709676,-36.46548571125154,-36.46548571125154,1.0
88000,0.7736627,-16.820683,33.44827586206897,-39.11896761532488,-39.11896761532488,1.0
89000,0.7571206,-16.732426,15.0,-12.202858107430595,-12.202858107430595,1.0
90000,0.7663123,-16.90784,47.64102564102564,-51.47263275949579,-51.47263275949579,1.0
91000,0.732575,-16.892876,28.636363636363637,-29.212353313670437,-29.212353313670437,1.0
92000,0.7376827,-17.171392,29.558823529411764,-33.80969882733894,-33.80969882733894,1.0
93000,0.7021447,-16.869473,26.214285714285715,-28.731335322062176,-28.731335322062176,1.0
94000,0.72259486,-16.821253,75.9047619047619,-86.66750268936157,-86.66750268936157,1.0
95000,0.7228056,-17.235453,28.0,-31.652499586343765,-31.652499586343765,1.0
96000,0.7380662,-17.605919,79.0,-90.25105493947079,-90.25105493947079,1.0
97000,0.7200974,-17.489038,27.352941176470587,-28.62941361876095,-28.62941361876095,1.0
98000,0.71480614,-17.363565,30.870967741935484,-37.5400028305669,-37.5400028305669,1.0
99000,0.6833937,-17.331165,24.45,-25.469000971317293,-25.469000971317293,1.0
100000,0.6616762,-17.175165,29.12121212121212,-32.18000029072617,-32.18000029072617,1.0
101000,0.66323245,-17.369402,26.714285714285715,-29.91250110997094,-29.91250110997094,1.0
102000,0.6473907,-17.804037,35.92857142857143,-39.706667776461,-39.706667776461,1.0
103000,0.6357472,-17.268879,24.0,-25.67325142621994,-25.67325142621994,1.0
104000,0.6462161,-17.877533,33.0,-41.00586330479589,-41.00586330479589,1.0
105000,0.6156071,-17.976454,35.03703703703704,-39.322502178805216,-39.322502178805216,1.0
106000,0.5856589,-17.556456,25.333333333333332,-26.396843646702013,-26.396843646702013,1.0
107000,0.56839764,-17.939486,21.52173913043478,-20.69674017118371,-20.69674017118371,1.0
108000,0.56537044,-18.193388,29.967741935483872,-35.81839015406947,-35.81839015406947,1.0
109000,0.60558194,-17.7025,25.42105263157895,-27.48710726436816,-27.48710726436816,1.0
110000,0.58379996,-17.992071,26.83783783783784,-28.76973024574486,-28.76973024574486,1.0
111000,0.6152194,-17.822561,34.17857142857143,-41.1685734135764,-41.1685734135764,1.0
112000,0.56627816,-18.08904,28.676470588235293,-30.71647303244647,-30.71647303244647,1.0
113000,0.5761671,-17.900156,24.605263157894736,-26.321841867346514,-26.321841867346514,1.0
114000,0.5928215,-17.73018,22.704545454545453,-22.603863922032442,-22.603863922032442,1.0
115000,0.6013207,-17.956255,27.323529411764707,-33.535001165726605,-33.535001165726605,1.0
116000,0.59807825,-18.001892,30.25,-35.23312655091286,-35.23312655091286,1.0
117000,0.55669445,-18.075119,27.135135135135137,-29.827028377636058,-29.827028377636058,1.0
118000,0.5642084,-17.853096,24.31578947368421,-28.172107081664237,-28.172107081664237,1.0
119000,0.49943805,-18.049906,24.615384615384617,-25.284359406202267,-25.284359406202267,1.0
120000,0.52879846,-18.169512,24.58974358974359,-25.4717960357666,-25.4717960357666,1.0
121000,0.54205865,-17.64732,20.625,-23.449584821859997,-23.449584821859997,1.0
122000,0.5094101,-18.075066,26.34285714285714,-31.546572351455687,-31.546572351455687,1.0
123000,0.5352178,-17.956339,25.31578947368421,-28.58815843180606,-28.58815843180606,1.0
124000,0.50826037,-17.969452,23.0,-22.823334614435833,-22.823334614435833,1.0
125000,0.52553374,-17.836248,20.319148936170212,-21.39340437219498,-21.39340437219498,1.0
126000,0.5106788,-17.50371,24.974358974358974,-26.15230925877889,-26.15230925877889,1.0
127000,0.5205812,-17.723534,26.11111111111111,-31.533889691034954,-31.533889691034954,1.0
128000,0.53767604,-17.566324,30.21875,-37.9246893376112,-37.9246893376112,1.0
129000,0.5076545,-17.598719,21.976190476190474,-21.840931598530258,-21.840931598530258,1.0
130000,0.55569714,-17.774641,27.2972972972973,-31.745557480388218,-31.745557480388218,1.0
131000,0.5264368,-18.01298,26.16216216216216,-30.277298089620228,-30.277298089620228,1.0
132000,0.5224542,-17.942497,21.822222222222223,-22.891777918073867,-22.891777918073867,1.0
