Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.098449,0.13404997,127.0,-129.2474980354309,-129.2474980354309,1.0
2000,1.0984251,0.1323261,999.0,-1096.6000213623047,-1096.6000213623047,1.0
3000,1.0967166,-0.36370865,436.0,-469.59500885009766,-469.59500885009766,1.0
4000,1.0964357,-0.4322029,292.0,-312.1040065765381,-312.1040065765381,1.0
5000,1.0917295,-0.94822764,136.25,-140.0962496995926,-140.0962496995926,1.0
6000,1.0908173,-1.1435742,218.5,-229.52750158309937,-229.52750158309937,1.0
7000,1.0947547,-1.5252862,414.0,-445.89001274108887,-445.89001274108887,1.0
8000,1.0954841,-1.7699633,367.75,-393.94500517845154,-393.94500517845154,1.0
9000,1.0905339,-2.4887924,244.25,-258.9025059938431,-258.9025059938431,1.0
10000,1.088397,-2.6911108,249.2,-263.95800552368166,-263.95800552368166,1.0
11000,1.0826031,-3.2623272,175.33333333333334,-187.92199935913087,-187.92199935913087,1.0
12000,1.0775232,-3.6522183,204.0,-193.40333620707193,-193.40333620707193,1.0
13000,1.0813198,-4.1096215,284.4,-301.680005645752,-301.680005645752,1.0
14000,1.084017,-4.4394317,147.14285714285714,-151.7242864881243,-151.7242864881243,1.0
15000,1.0787624,-4.717948,125.625,-127.75375127792358,-127.75375127792358,1.0
16000,1.0732945,-5.1028943,138.4,-141.82800130844117,-141.82800130844117,1.0
17000,1.0663906,-5.322487,224.5,-236.62833833694458,-236.62833833694458,1.0
18000,1.0579782,-5.9802322,369.0,-395.9700050354004,-395.9700050354004,1.0
19000,1.0585912,-6.101135,260.4,-275.7220058441162,-275.7220058441162,1.0
20000,1.0575119,-6.421226,202.83333333333334,-213.2466665903727,-213.2466665903727,1.0
21000,1.0526386,-6.9625144,999.0,-1099.670021057129,-1099.670021057129,1.0
22000,1.04457,-7.4527144,292.25,-386.6533381144206,-386.6533381144206,1.0
23000,1.0444078,-7.8183103,229.0,-212.76600475311278,-212.76600475311278,1.0
24000,1.0483564,-8.529274,999.0,-1100.0000228881836,-1100.0000228881836,1.0
25000,1.0478911,-8.662041,753.0,-818.0400161743164,-818.0400161743164,1.0
26000,1.0451237,-9.870246,241.6,-254.82800102233887,-254.82800102233887,1.0
27000,1.0471054,-10.320397,178.4,-185.8140033721924,-185.8140033721924,1.0
28000,1.0552567,-10.239978,230.4,-242.92200469970703,-242.92200469970703,1.0
29000,1.0562416,-10.869987,306.6666666666667,-326.25000588099164,-326.25000588099164,1.0
30000,1.0430548,-11.002861,186.0,-194.7375030517578,-194.7375030517578,1.0
31000,1.0445155,-11.550984,632.5,-685.7450129985809,-685.7450129985809,1.0
32000,1.0341915,-10.986162,99.16666666666667,-99.51833192507426,-99.51833192507426,1.0
33000,1.0326765,-11.785105,999.0,-1083.000015258789,-1083.000015258789,1.0
34000,1.0506275,-11.968017,291.0,-309.628005695343,-309.628005695343,1.0
35000,1.0484482,-11.939296,131.75,-148.64428492954798,-148.64428492954798,1.0
36000,1.0562845,-12.395337,144.0,-92.46000003814697,-92.46000003814697,1.0
37000,1.0606915,-12.418324,312.0,-336.54600620269775,-336.54600620269775,1.0
38000,1.0665,-12.833962,241.0,-272.8975055217743,-272.8975055217743,1.0
39000,1.0806304,-13.268484,784.0,-850.9000225067139,-850.9000225067139,1.0
40000,1.0681028,-13.157379,158.75,-164.25000417232513,-164.25000417232513,1.0
41000,1.0596843,-13.234027,211.6,-222.0500060081482,-222.0500060081482,1.0
42000,1.0566456,-13.399152,262.5,-276.9900014400482,-276.9900014400482,1.0
43000,1.0530448,-13.243851,75.75,-73.49583284060161,-73.49583284060161,1.0
44000,1.0477021,-13.833011,203.4,-211.71000480651855,-211.71000480651855,1.0
45000,1.0479922,-13.930675,199.0,-206.8275021314621,-206.8275021314621,1.0
46000,1.0565794,-14.67058,539.5,-583.9400086402893,-583.9400086402893,1.0
47000,1.0536786,-14.332952,333.6666666666667,-354.59667587280273,-354.59667587280273,1.0
48000,1.0426067,-14.845103,300.6666666666667,-320.53333648045856,-320.53333648045856,1.0
49000,1.0323398,-15.18654,639.0,-696.3350143432617,-696.3350143432617,1.0
50000,1.0307837,-15.388994,235.25,-248.03000378608704,-248.03000378608704,1.0
51000,1.0352211,-15.766888,358.3333333333333,-386.5900077819824,-386.5900077819824,1.0
52000,1.0276425,-16.188583,189.4,-198.4259994506836,-198.4259994506836,1.0
53000,1.0114372,-15.944477,102.0,-101.4660005569458,-101.4660005569458,1.0
54000,1.0027341,-15.98046,213.0,-224.2500057220459,-224.2500057220459,1.0
55000,1.0125593,-16.318586,313.5,-334.1375069618225,-334.1375069618225,1.0
56000,1.0194045,-16.491367,230.8,-242.8940026283264,-242.8940026283264,1.0
57000,1.0088825,-16.278889,125.11111111111111,-127.27555433909099,-127.27555433909099,1.0
58000,1.0130002,-16.70962,152.83333333333334,-157.0183355808258,-157.0183355808258,1.0
59000,0.97603375,-16.81354,228.0,-225.897505402565,-225.897505402565,1.0
60000,0.97682834,-17.093182,109.0,-138.03111171722412,-138.03111171722412,1.0
61000,0.959648,-16.975443,114.625,-107.2688890033298,-107.2688890033298,1.0
62000,0.9653975,-16.900812,117.375,-118.125,-118.125,1.0
63000,0.9224859,-17.44191,89.27272727272727,-88.09545334902677,-88.09545334902677,1.0
64000,0.92493343,-17.71987,130.25,-132.15250182151794,-132.15250182151794,1.0
65000,0.9279562,-17.281174,134.625,-151.8485736165728,-151.8485736165728,1.0
66000,0.92718077,-17.77754,217.0,-189.1800012588501,-189.1800012588501,1.0
67000,0.9031529,-18.193483,177.6,-185.32200355529784,-185.32200355529784,1.0
68000,0.8870252,-17.995934,135.11111111111111,-137.94666862487793,-137.94666862487793,1.0
69000,0.87177485,-18.544355,116.5,-117.31374740600586,-117.31374740600586,1.0
70000,0.90884095,-18.805466,396.5,-422.7000045776367,-422.7000045776367,1.0
71000,0.9014178,-18.123165,104.16666666666667,-104.12333242098491,-104.12333242098491,1.0
72000,0.88465613,-18.82395,127.0,-129.3483370145162,-129.3483370145162,1.0
73000,0.8622133,-18.537716,192.66666666666666,-200.328333457311,-200.328333457311,1.0
74000,0.8296832,-18.741488,110.11111111111111,-108.67888715532091,-108.67888715532091,1.0
75000,0.8512782,-18.886436,154.0,-173.62500222524008,-173.62500222524008,1.0
76000,0.8181513,-19.440527,79.41666666666667,-75.51384360973651,-75.51384360973651,1.0
77000,0.8338193,-18.921865,76.27272727272727,-73.494543985887,-73.494543985887,1.0
78000,0.8493142,-19.365633,95.66666666666667,-94.82500012715657,-94.82500012715657,1.0
79000,0.84939843,-19.555138,102.75,-102.15875041484833,-102.15875041484833,1.0
80000,0.76823944,-19.743185,121.8,-132.57110977172852,-132.57110977172852,1.0
81000,0.8015074,-18.984713,96.5,-88.2319990158081,-88.2319990158081,1.0
82000,0.7993323,-19.637974,61.5,-57.7537485063076,-57.7537485063076,1.0
83000,0.77495176,-20.073195,83.83333333333333,-88.0916633605957,-88.0916633605957,1.0
84000,0.80590355,-20.047571,139.28571428571428,-134.32428686959403,-134.32428686959403,1.0
85000,0.8000332,-19.794994,72.84615384615384,-71.39785661016192,-71.39785661016192,1.0
86000,0.8000288,-20.713903,99.0,-98.59899873733521,-98.59899873733521,1.0
87000,0.7920449,-20.737204,128.375,-141.4414245060512,-141.4414245060512,1.0
88000,0.7811675,-20.76588,146.85714285714286,-110.67857142857143,-110.67857142857143,1.0
89000,0.7570386,-20.180752,59.46666666666667,-72.37624862790108,-72.37624862790108,1.0
90000,0.7829621,-20.818617,113.77777777777777,-113.85444460974799,-113.85444460974799,1.0
91000,0.7948047,-20.541256,88.2,-86.65700068473816,-86.65700068473816,1.0
92000,0.7666322,-20.539814,112.3,-122.71666526794434,-122.71666526794434,1.0
93000,0.7964482,-21.405493,88.7,-81.4372710314664,-81.4372710314664,1.0
94000,0.7927408,-20.649654,136.5,-147.64285509926933,-147.64285509926933,1.0
95000,0.7310143,-21.076942,93.71428571428571,-88.82375007867813,-88.82375007867813,1.0
96000,0.6989827,-21.076166,140.11111111111111,-142.55777655707465,-142.55777655707465,1.0
97000,0.765739,-21.198122,63.8,-60.008666801452634,-60.008666801452634,1.0
98000,0.75290084,-21.379532,91.33333333333333,-94.3599980094216,-94.3599980094216,1.0
99000,0.73334605,-21.468538,84.63636363636364,-79.18749777475993,-79.18749777475993,1.0
100000,0.7280406,-22.094965,100.3,-99.81199855804444,-99.81199855804444,1.0
101000,0.7177208,-21.081993,70.42857142857143,-67.43285642351422,-67.43285642351422,1.0
102000,0.7304362,-21.712162,86.08333333333333,-90.14454598860307,-90.14454598860307,1.0
103000,0.6913818,-21.735508,69.16666666666667,-61.935382696298454,-61.935382696298454,1.0
104000,0.66405195,-22.048756,139.625,-141.10624998807907,-141.10624998807907,1.0
105000,0.68562627,-22.33784,106.22222222222223,-105.35110929277208,-105.35110929277208,1.0
106000,0.7187662,-22.016346,95.81818181818181,-95.12899885177612,-95.12899885177612,1.0
107000,0.66448605,-21.722816,53.36842105263158,-49.938947225871836,-49.938947225871836,1.0
108000,0.679717,-22.191263,75.0,-70.10999822616577,-70.10999822616577,1.0
109000,0.64864963,-22.582617,89.92307692307692,-88.11769210375272,-88.11769210375272,1.0
110000,0.65253633,-22.578302,142.28571428571428,-145.56714282717024,-145.56714282717024,1.0
111000,0.6512647,-22.724068,68.0,-65.36642697879246,-65.36642697879246,1.0
112000,0.62715816,-22.064508,61.9375,-57.14312279224396,-57.14312279224396,1.0
113000,0.6708131,-22.537495,64.0,-58.87399854660034,-58.87399854660034,1.0
114000,0.660902,-22.863886,76.0909090909091,-72.50181596929377,-72.50181596929377,1.0
