Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.890181,2.0059880239520957,-0.06865753,-0.9378866772997415,-0.9378866772997415,1.0
2000,2.8901615,2.014705882352941,-0.07458393,-0.9683371706023103,-0.9683371706023103,1.0
3000,2.8882978,2.1915584415584415,-0.3876497,-0.9852486862204014,-0.9852486862204014,1.0
4000,2.8875606,2.170886075949367,-0.43551967,-0.9789721723943473,-0.9789721723943473,1.0
5000,2.8745978,2.592857142857143,-0.6630011,-0.9764389574312561,-0.9764389574312561,1.0
6000,2.8743284,2.5815602836879434,-0.69827926,-0.9494863802547654,-0.9494863802547654,1.0
7000,2.8633256,2.7674418604651163,-0.8535785,-0.9752011205501483,-0.9752011205501483,1.0
8000,2.8578887,3.1659751037344397,-0.85777605,-0.956536636253198,-0.956536636253198,1.0
9000,2.8277607,3.7216981132075473,-0.91435844,-0.9699235550075207,-0.9699235550075207,1.0
10000,2.8169396,4.575418994413408,-0.9263384,-0.9430927495161693,-0.9430927495161693,1.0
11000,2.7800176,5.067073170731708,-0.9244307,-0.961696314375575,-0.961696314375575,1.0
12000,2.7590654,5.412162162162162,-0.91065454,-0.9842496259459134,-0.9842496259459134,1.0
13000,2.7226825,7.4363636363636365,-0.9081446,-0.945531830323481,-0.945531830323481,1.0
14000,2.6935792,10.364705882352942,-0.92766136,-0.9746129106072818,-0.9746129106072818,1.0
15000,2.6685908,11.488095238095237,-0.8303731,-0.9038678320745627,-0.9038678320745627,1.0
16000,2.6481578,15.981481481481481,-0.82549703,-0.9243055295061182,-0.9243055295061182,1.0
17000,2.6253893,15.065573770491802,-0.85884476,-0.997999973098437,-0.997999973098437,1.0
18000,2.6038377,22.424242424242426,-0.85231006,-0.8832176200607244,-0.8832176200607244,1.0
19000,2.601996,29.075,-0.7720044,-0.9980804636711027,-0.9980804636711027,1.0
20000,2.5670106,30.032258064516128,-0.68776405,-0.87026127355714,-0.87026127355714,1.0
21000,2.5702043,26.1875,-0.76339895,-0.9374749744310975,-0.9374749744310975,1.0
22000,2.5636287,29.764705882352942,-0.6960965,-0.8749312227591872,-0.8749312227591872,1.0
23000,2.5946035,34.5,-0.5721017,-0.9979888598124186,-0.9979888598124186,1.0
24000,2.6944628,100.71428571428571,-0.48373574,-0.9979999853031976,-0.9979999853031976,1.0
25000,2.7097971,38.333333333333336,-0.25755,-0.9990666459004084,-0.9990666459004084,1.0
26000,2.7435005,93.5,-0.2353416,-0.9980000108480453,-0.9980000108480453,1.0
27000,2.7616167,26.0,-0.116456136,0.9426000118255615,0.9426000118255615,1.0
28000,2.7356853,224.5,-0.13646987,-0.9980000406503677,-0.9980000406503677,1.0
29000,2.7515936,499.0,-0.07051774,-0.998200036585331,-0.998200036585331,1.0
30000,2.755376,None,-0.18118626,None,None,1.0
31000,2.7685204,None,-0.092383705,None,None,1.0
32000,2.761264,499.0,-0.16290389,-0.998200036585331,-0.998200036585331,1.0
33000,2.745013,499.0,-0.13339935,-0.998200036585331,-0.998200036585331,1.0
34000,2.7093308,497.4,-0.12274129,-0.9984333689014117,-0.9984333689014117,1.0
35000,2.6652842,429.42857142857144,-0.12929763,-0.9981666977206866,-0.9981666977206866,1.0
36000,2.663965,262.0,-0.13688934,-0.9975666850805283,-0.9975666850805283,1.0
37000,2.7231305,499.0,-0.11505915,-0.998200036585331,-0.998200036585331,1.0
38000,2.7221293,499.0,-0.12980154,-0.9987333690126737,-0.9987333690126737,1.0
39000,2.7202466,499.0,-0.12703858,-0.9990000352263451,-0.9990000352263451,1.0
40000,2.7420251,499.0,-0.13216585,-0.9998000338673592,-0.9998000338673592,1.0
41000,2.7541575,499.0,-0.12896946,-0.9990000352263451,-0.9990000352263451,1.0
42000,2.7395916,12.0,-0.14331698,-0.9999999850988388,-0.9999999850988388,1.0
