Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.8901284,0.8983364140480592,-0.0045689475,-0.9143694915090288,-0.9143694915090288,1.0
2000,2.8901427,1.08125,0.0011937626,-0.9856487271214319,-0.9856487271214319,1.0
3000,2.8878121,1.111344537815126,-0.402399,-0.9602520679976759,-0.9602520679976759,1.0
4000,2.886561,1.1372549019607843,-0.4483503,-0.9765836577302908,-0.9765836577302908,1.0
5000,2.8776183,1.2766439909297052,-0.76042074,-0.9751532857969096,-0.9751532857969096,1.0
6000,2.8755038,1.397094430992736,-0.81639427,-0.9597026052520715,-0.9597026052520715,1.0
7000,2.8589854,1.297921478060046,-0.9132386,-0.9660274271834087,-0.9660274271834087,1.0
8000,2.8453536,1.737265415549598,-0.92399,-0.9487616117686442,-0.9487616117686442,1.0
9000,2.8430016,1.4222222222222223,-0.95225585,-0.9640533665140856,-0.9640533665140856,1.0
10000,2.8230004,1.8356940509915014,-0.93968457,-0.9353959806624301,-0.9353959806624301,1.0
11000,2.805105,2.02089552238806,-0.9504424,-0.9560059745748479,-0.9560059745748479,1.0
12000,2.7917786,2.1512345679012346,-0.95227456,-0.9728867617793053,-0.9728867617793053,1.0
13000,2.7357423,2.8492063492063493,-0.9541163,-0.9750497777343253,-0.9750497777343253,1.0
14000,2.6879106,2.9375,-0.9412747,-0.9513540546253961,-0.9513540546253961,1.0
15000,2.6694407,3.2844827586206895,-0.9437244,-0.9546260574589605,-0.9546260574589605,1.0
16000,2.6064658,4.8604651162790695,-0.9447508,-0.9863953219596729,-0.9863953219596729,1.0
17000,2.535913,5.154320987654321,-0.9356081,-0.949684820391915,-0.949684820391915,1.0
18000,2.5212753,7.380165289256198,-0.9348394,-0.9639145028896821,-0.9639145028896821,1.0
19000,2.4695556,8.745098039215685,-0.91776365,-0.9979999736674781,-0.9979999736674781,1.0
20000,2.4131398,9.648936170212766,-0.8671382,-0.9568040991566845,-0.9568040991566845,1.0
21000,2.4256718,8.548076923076923,-0.8889809,-0.9588431067326489,-0.9588431067326489,1.0
22000,2.3516657,11.481481481481481,-0.8873447,-0.9487654071899108,-0.9487654071899108,1.0
23000,2.32608,12.405405405405405,-0.8836696,-0.9195789224223087,-0.9195789224223087,1.0
24000,2.2471132,16.227272727272727,-0.89599705,-0.997999968515201,-0.997999968515201,1.0
25000,2.2635906,22.108695652173914,-0.8776354,-0.9450285460267748,-0.9450285460267748,1.0
26000,2.2073057,22.073170731707318,-0.824059,-0.960301861448108,-0.960301861448108,1.0
27000,2.218698,21.918367346938776,-0.85171324,-0.9979999779086364,-0.9979999779086364,1.0
28000,2.145034,27.434782608695652,-0.82925373,-0.9403529184706071,-0.9403529184706071,1.0
29000,2.1684422,42.68181818181818,-0.75312454,-0.8167272501371123,-0.8167272501371123,1.0
30000,2.1108394,36.9,-0.7011805,-0.7347272492267869,-0.7347272492267869,1.0
31000,2.101444,57.09090909090909,-0.6871634,-0.6416363377462734,-0.6416363377462734,1.0
32000,2.05139,56.86363636363637,-0.63407505,-0.8189999799836766,-0.8189999799836766,1.0
33000,2.073502,35.142857142857146,-0.6851098,-0.9979999628331926,-0.9979999628331926,1.0
34000,2.0671086,62.84615384615385,-0.6283338,-0.9979999787532366,-0.9979999787532366,1.0
35000,2.1083581,54.72727272727273,-0.60396194,-0.8001999750733375,-0.8001999750733375,1.0
36000,2.0625901,76.5,-0.61183655,-0.9979999791830778,-0.9979999791830778,1.0
37000,1.9997321,78.0,-0.5809973,-0.9980000108480453,-0.9980000108480453,1.0
38000,2.000659,154.0,-0.5435122,-0.9979999959468842,-0.9979999959468842,1.0
39000,1.9813242,139.75,-0.53568184,-0.9980999920517206,-0.9980999920517206,1.0
40000,1.9635216,163.0,-0.5081239,-0.9979999959468842,-0.9979999959468842,1.0
41000,1.943782,52.0,-0.47907388,-0.9979999661445618,-0.9979999661445618,1.0
42000,1.9155039,249.0,-0.46919,-0.9980000406503677,-0.9980000406503677,1.0
43000,1.9740676,352.5,-0.46041277,-0.7632800161838531,-0.7632800161838531,1.0
44000,1.9486488,None,-0.44867358,None,None,1.0
45000,2.0093515,373.25,-0.37921596,-0.6078000273555517,-0.6078000273555517,1.0
46000,2.005518,414.5,-0.40378308,-0.32910002395510674,-0.32910002395510674,1.0
47000,2.049974,149.33333333333334,-0.35597855,-0.7140857066426959,-0.7140857066426959,1.0
48000,2.0347066,345.14285714285717,-0.37632608,-0.9980857446789742,-0.9980857446789742,1.0
49000,1.9963881,227.14285714285714,-0.35681093,-0.9980857159410205,-0.9980857159410205,1.0
50000,1.9968394,90.77777777777777,-0.2157187,-0.13293333268827862,-0.13293333268827862,1.0
51000,1.9682554,207.33333333333334,-0.31894165,-0.679680010676384,-0.679680010676384,1.0
52000,1.958437,38.333333333333336,-0.26730934,-0.031050000339746475,-0.031050000339746475,1.0
53000,1.9413093,220.0,-0.30273387,-0.02299998700618744,-0.02299998700618744,1.0
54000,1.9517709,240.0,-0.31157035,-0.9981000237166882,-0.9981000237166882,1.0
55000,1.9706333,238.33333333333334,-0.2835568,-0.9980399832129478,-0.9980399832129478,1.0
56000,1.9579666,197.0,-0.28472337,-0.9979999860127767,-0.9979999860127767,1.0
57000,1.9244301,161.5,-0.30790773,-0.04300001263618469,-0.04300001263618469,1.0
58000,1.9013642,499.0,-0.30216715,-0.998200036585331,-0.998200036585331,1.0
59000,1.8948725,251.5,-0.26901987,-0.9982000179588795,-0.9982000179588795,1.0
60000,1.9280667,93.0,-0.27346128,0.8140000253915787,0.8140000253915787,1.0
61000,1.9445571,415.0,-0.28237507,-0.9981333563725153,-0.9981333563725153,1.0
62000,1.9610546,388.0,-0.23814154,-0.581650024279952,-0.581650024279952,1.0
63000,1.9686743,384.3333333333333,-0.28835186,-0.9981333563725153,-0.9981333563725153,1.0
64000,1.9521503,330.6,-0.24794184,-0.6157600119709968,-0.6157600119709968,1.0
65000,1.9583018,499.0,-0.25985545,-0.998200036585331,-0.998200036585331,1.0
66000,1.9461497,309.0,-0.2623056,-0.9980666761596998,-0.9980666761596998,1.0
67000,1.9062688,499.0,-0.22612824,-0.998200036585331,-0.998200036585331,1.0
68000,1.917516,394.8,-0.21596995,-0.7413600251078606,-0.7413600251078606,1.0
69000,1.9020642,389.75,-0.21227682,-0.998200036585331,-0.998200036585331,1.0
70000,1.909073,40.0,-0.20119524,0.898000031709671,0.898000031709671,1.0
71000,1.8915547,206.5,-0.20262682,-0.9980999752879143,-0.9980999752879143,1.0
72000,1.8873574,418.3333333333333,-0.20003042,-0.9980667009949684,-0.9980667009949684,1.0
73000,1.8856096,499.0,-0.17340523,-0.998200036585331,-0.998200036585331,1.0
74000,1.8531535,499.0,-0.21186359,-0.998200036585331,-0.998200036585331,1.0
75000,1.873883,499.0,-0.19916178,-0.998200036585331,-0.998200036585331,1.0
76000,1.8496228,499.0,-0.19923556,-0.998200036585331,-0.998200036585331,1.0
77000,1.787395,499.0,-0.19345357,-0.998200036585331,-0.998200036585331,1.0
78000,1.8018441,499.0,-0.1941376,-0.998200036585331,-0.998200036585331,1.0
79000,1.7897056,None,-0.19147919,None,None,1.0
80000,1.8059599,256.5,-0.17821336,-0.9982000241676966,-0.9982000241676966,1.0
81000,1.8295599,499.0,-0.1902115,-0.998200036585331,-0.998200036585331,1.0
82000,1.7941508,270.0,-0.13538015,-0.22692002058029176,-0.22692002058029176,1.0
83000,1.8070253,212.8,-0.15465479,-0.6844666786491871,-0.6844666786491871,1.0
84000,1.7814621,81.0,-0.17576167,0.8380000069737434,0.8380000069737434,1.0
85000,1.7191267,499.0,-0.1930279,-0.998200036585331,-0.998200036585331,1.0
86000,1.7540251,333.3333333333333,-0.16811435,-0.33346669375896454,-0.33346669375896454,1.0
87000,1.7950575,193.0,-0.15204592,0.2805999790628751,0.2805999790628751,1.0
88000,1.811548,None,-0.1780989,None,None,1.0
