Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,2.5827749,12.582,-0.7847915,-0.9466531935388283,-0.9466531935388283,0.08737611,3.3983352,0.00029991867,0.19997291,0.0049986467,1.0
20000,2.4532351,215.0,-0.45580006,-0.998999971151352,-0.998999971151352,0.0015426422,0.9462886,0.00029953814,0.19984603,0.0049923174,1.0
30000,2.464058,851.0,-0.25917432,-0.9991500452160835,-0.9991500452160835,0.00052030716,0.7742051,0.0002992504,0.19975011,0.0049875313,1.0
40000,2.4488583,603.1714285714286,-0.2738513,-0.999131594441439,-0.999131594441439,0.0096714245,0.7519263,0.000298963,0.19965431,0.0049827513,1.0
50000,2.394471,173.66666666666666,-0.23973836,-0.999066635966301,-0.999066635966301,0.0020168782,0.54698396,0.0002986531,0.19955102,0.0049775965,1.0
60000,2.376534,751.1,-0.27444634,-0.9991789711149115,-0.9991789711149115,0.0025423432,0.8939273,0.0002983499,0.19944999,0.0049725533,1.0
70000,2.3766637,616.8888888888889,-0.315979,-0.9991684367782191,-0.9991684367782191,0.0023261777,0.86327755,0.0002980511,0.19935039,0.0049675833,1.0
80000,2.3830175,999.0,-0.24203491,-0.9992000460624695,-0.9992000460624695,7.0407186e-05,0.79728466,0.00029775026,0.19925007,0.004962579,1.0
90000,2.3789418,881.7692307692307,-0.24901654,-0.9992000379910072,-0.9992000379910072,0.0016215073,0.70440465,0.00029745,0.19915,0.0049575833,1.0
100000,2.2953188,806.4,-0.27215147,-0.9992000375475202,-0.9992000375475202,0.0017232948,0.77796733,0.00029714062,0.19904688,0.0049524386,1.0
110000,2.2203014,999.0,-0.27918774,-0.9992000460624695,-0.9992000460624695,4.55928e-05,0.8791075,0.00029683526,0.19894508,0.0049473597,1.0
120000,2.2210848,829.0869565217391,-0.32423705,-0.999192338436842,-0.999192338436842,0.0065276586,1.0748019,0.00029654242,0.19884747,0.0049424884,1.0
130000,2.12663,762.25,-0.28693798,-0.9992000311613083,-0.9992000311613083,0.0005045762,0.78919125,0.00029624638,0.1987488,0.004937565,1.0
140000,2.1196144,999.0,-0.29206124,-0.9992000460624695,-0.9992000460624695,6.135306e-05,0.87286425,0.00029594143,0.19864714,0.004932492,1.0
150000,2.0693367,999.0,-0.29757592,-0.9992000460624695,-0.9992000460624695,9.056703e-05,0.8360058,0.00029564748,0.19854915,0.0049276026,1.0
160000,2.010161,999.0,-0.29201677,-0.9992000460624695,-0.9992000460624695,2.241222e-05,0.8928012,0.00029534486,0.1984483,0.004922569,1.0
170000,1.8807135,999.0,-0.28913796,-0.9992000460624695,-0.9992000460624695,5.265494e-05,0.8961307,0.00029504226,0.19834742,0.004917536,1.0
180000,1.6919428,999.0,-0.2573241,-0.9992000460624695,-0.9992000460624695,0.00023496969,0.8286695,0.000294748,0.19824934,0.004912642,1.0
190000,1.3725301,999.0,-0.2577313,-0.9992000460624695,-0.9992000460624695,1.1232759e-05,0.89515126,0.00029444287,0.19814762,0.004907566,1.0
200000,1.010297,954.0909090909091,-0.2481615,-0.9992000410954157,-0.9992000410954157,0.0028708586,0.783895,0.000294146,0.19804868,0.0049026283,1.0
210000,0.8402851,857.4,-0.20832291,-0.999200028181076,-0.999200028181076,0.0005460043,0.71193826,0.00029384892,0.19794962,0.0048976857,1.0
220000,0.6093512,999.0,-0.2016947,-0.9992000460624695,-0.9992000460624695,2.9898667e-05,0.64293253,0.00029354385,0.19784793,0.004892612,1.0
230000,0.5334176,999.0,-0.17648612,-0.9992000460624695,-0.9992000460624695,5.669506e-05,0.6627609,0.00029324897,0.19774964,0.004887708,1.0
240000,0.34858173,796.0,-0.18028267,-0.9992000311613083,-0.9992000311613083,0.0011385699,0.68275356,0.0002929489,0.19764963,0.0048827166,1.0
250000,0.31469378,999.0,-0.17083001,-0.9992000460624695,-0.9992000460624695,3.683539e-05,0.56014377,0.00029264574,0.19754857,0.0048776735,1.0
260000,0.40960014,999.0,-0.15031174,-0.9992000460624695,-0.9992000460624695,1.7001574e-05,0.5221301,0.00029235086,0.19745028,0.0048727687,1.0
270000,0.44131914,860.5,-0.15642637,-0.9992000460624695,-0.9992000460624695,1.2104405e-05,0.49246356,0.00029204763,0.1973492,0.004867725,1.0
280000,0.5876571,954.3809523809524,-0.15294425,-0.9992000396278772,-0.9992000396278772,0.0011218672,0.436839,0.00029174855,0.19724952,0.00486275,1.0
290000,0.5630826,999.0,-0.13388097,-0.9992000460624695,-0.9992000460624695,2.2126887e-05,0.32949823,0.00029145123,0.19715041,0.0048578056,1.0
300000,0.43270132,946.25,-0.13652934,-0.9992000348865986,-0.9992000348865986,0.00028224042,0.3025757,0.00029114756,0.19704917,0.004852753,1.0
310000,0.4695976,999.0,-0.11329281,-0.9992000456485484,-0.9992000456485484,8.861691e-06,0.14595053,0.00029085163,0.19695053,0.0048478316,1.0
320000,0.37421876,999.0,-0.1053686,-0.9992000460624695,-0.9992000460624695,1.0517093e-06,0.09101265,0.0002905514,0.19685048,0.0048428383,1.0
330000,0.404513,971.0,-0.10861449,-0.9992000434015479,-0.9992000434015479,0.00017065993,0.16234061,0.00029024907,0.1967497,0.0048378096,1.0
