Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.8897014,0.9362934362934363,0.096480906,-0.9516511300737543,-0.9516511300737543,1.0
2000,2.8897226,1.0355029585798816,0.06051658,-0.9655365523526339,-0.9655365523526339,1.0
3000,2.8841872,1.1721854304635762,-0.42742428,-0.9634371967542739,-0.9634371967542739,1.0
4000,2.8845198,1.143167028199566,-0.4490547,-0.9506680707222429,-0.9506680707222429,1.0
5000,2.8717058,1.313397129186603,-0.7128899,-0.9843333009715494,-0.9843333009715494,1.0
6000,2.86584,1.6584699453551912,-0.74810195,-0.9451745715406206,-0.9451745715406206,1.0
7000,2.8447149,1.7131147540983607,-0.8653392,-0.9546032296898572,-0.9546032296898572,1.0
8000,2.8417172,1.628032345013477,-0.90511376,-0.9612052313591305,-0.9612052313591305,1.0
9000,2.803739,1.967359050445104,-0.91968733,-0.9505934405751327,-0.9505934405751327,1.0
10000,2.7893276,2.314754098360656,-0.9445432,-0.9719215376314774,-0.9719215376314774,1.0
11000,2.7719517,2.416382252559727,-0.95286125,-0.9637388011434234,-0.9637388011434234,1.0
12000,2.7558272,2.2524590163934426,-0.9480625,-0.9725732173130011,-0.9725732173130011,1.0
13000,2.6914744,3.227642276422764,-0.9529992,-0.9812803048967816,-0.9812803048967816,1.0
14000,2.6682386,3.881188118811881,-0.95174444,-0.9689320085696804,-0.9689320085696804,1.0
15000,2.5722768,5.054878048780488,-0.9596841,-0.9859272421309442,-0.9859272421309442,1.0
16000,2.521891,5.826086956521739,-0.9113106,-0.9401448986668518,-0.9401448986668518,1.0
17000,2.4615815,8.356435643564357,-0.8707469,-0.9180999718606472,-0.9180999718606472,1.0
18000,2.4433386,10.045977011494253,-0.8780354,-0.9537333054674997,-0.9537333054674997,1.0
19000,2.3656418,11.594202898550725,-0.872405,-0.9979999733822686,-0.9979999733822686,1.0
20000,2.2872975,13.26530612244898,-0.8266824,-0.8784799736738205,-0.8784799736738205,1.0
21000,2.2391996,15.5,-0.82352453,-0.9033332999263491,-0.9033332999263491,1.0
22000,2.1704645,19.428571428571427,-0.75628924,-0.855428549860205,-0.855428549860205,1.0
23000,2.160859,6.1,-0.7743357,-0.9979999661445618,-0.9979999661445618,1.0
24000,2.1129537,None,-0.6627269,-0.9980000257492065,-0.9980000257492065,1.0
25000,2.1179113,None,-0.61732864,None,None,1.0
26000,2.1231315,315.0,-0.55619204,-0.9980000257492065,-0.9980000257492065,1.0
27000,2.1307461,None,-0.53983915,None,None,1.0
28000,2.1189613,None,-0.49660537,None,None,1.0
29000,2.1284304,260.0,-0.48490572,-0.998200036585331,-0.998200036585331,1.0
30000,2.1378477,None,-0.46005377,-0.998199999332428,-0.998199999332428,1.0
31000,2.1552975,310.5,-0.44792798,-0.7982600137591362,-0.7982600137591362,1.0
32000,2.1800492,193.6,-0.5068831,-0.9980222110946974,-0.9980222110946974,1.0
33000,2.2053924,189.9047619047619,-0.49221978,-0.8084666697042329,-0.8084666697042329,1.0
34000,2.1896155,197.33333333333334,-0.502425,-0.9980666413903236,-0.9980666413903236,1.0
35000,2.184712,119.75,-0.57126194,-0.9980615268533046,-0.9980615268533046,1.0
36000,2.161761,35.5,-0.49147084,-0.9979999735951424,-0.9979999735951424,1.0
37000,2.1533523,172.4,-0.4498237,-0.9980399951338768,-0.9980399951338768,1.0
