Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.8897128,0.8494623655913979,0.19214153,-0.9610611924656247,-0.9610611924656247,1.0
2000,2.8897347,0.9537223340040242,0.21091533,-0.9824591109724824,-0.9824591109724824,1.0
3000,2.8828852,1.1231732776617953,-0.32963088,-0.9768813230981261,-0.9768813230981261,1.0
4000,2.8806825,1.1941964285714286,-0.41296065,-0.9804483189687624,-0.9804483189687624,1.0
5000,2.8611646,1.4365853658536585,-0.7416287,-0.964004833477837,-0.964004833477837,1.0
6000,2.8574908,1.6253229974160206,-0.8077472,-0.9874973227738073,-0.9874973227738073,1.0
7000,2.8290682,2.0,-0.9080516,-0.9624628758925713,-0.9624628758925713,1.0
8000,2.821681,2.0959752321981426,-0.918414,-0.9487407098949692,-0.9487407098949692,1.0
9000,2.785261,2.1305732484076434,-0.911793,-0.9540691508811975,-0.9540691508811975,1.0
10000,2.7590358,2.4148936170212765,-0.9321114,-0.9639794918050538,-0.9639794918050538,1.0
11000,2.7235224,3.016,-0.961338,-0.9743398906213964,-0.9743398906213964,1.0
12000,2.689875,3.511520737327189,-0.94994813,-0.943645424192602,-0.943645424192602,1.0
13000,2.654385,4.081081081081081,-0.91122144,-0.911092866639622,-0.911092866639622,1.0
14000,2.6440856,4.4728260869565215,-0.90430146,-0.9656648336230098,-0.9656648336230098,1.0
15000,2.59771,4.5325443786982245,-0.92544484,-0.9510234997552984,-0.9510234997552984,1.0
16000,2.5620327,6.684563758389261,-0.95744264,-0.9979999707760038,-0.9979999707760038,1.0
17000,2.502067,5.873239436619718,-0.91699165,-0.9700559169262439,-0.9700559169262439,1.0
18000,2.4953256,9.75531914893617,-0.89456415,-0.9350315519069371,-0.9350315519069371,1.0
19000,2.4434247,7.956521739130435,-0.8983055,-0.9094821166779313,-0.9094821166779313,1.0
20000,2.3909304,12.14516129032258,-0.8378899,-0.8771211866176489,-0.8771211866176489,1.0
21000,2.3543916,14.779411764705882,-0.87211937,-0.9392940930145628,-0.9392940930145628,1.0
