Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.8896892,0.9619047619047619,0.07905339,-0.9473072083962174,-0.9473072083962174,1.0
2000,2.889728,0.9452054794520548,0.077297755,-0.9708621027400193,-0.9708621027400193,1.0
3000,2.883378,1.1673913043478261,-0.38540524,-0.9806724180368436,-0.9806724180368436,1.0
4000,2.8828547,1.1206896551724137,-0.41541526,-0.9469423981617763,-0.9469423981617763,1.0
5000,2.8689878,1.535,-0.6766253,-0.9577581540162978,-0.9577581540162978,1.0
6000,2.8634164,1.4073170731707316,-0.72145885,-0.9690531074712818,-0.9690531074712818,1.0
7000,2.841352,1.7138964577656677,-0.8656383,-0.9763847914168505,-0.9763847914168505,1.0
8000,2.8342903,1.8356940509915014,-0.88915724,-0.981101662762421,-0.981101662762421,1.0
9000,2.7905025,2.367003367003367,-0.92198837,-0.9847242218315403,-0.9847242218315403,1.0
10000,2.7854955,2.4186851211072664,-0.9357881,-0.9774862699312706,-0.9774862699312706,1.0
11000,2.7345278,2.8449612403100777,-0.94918066,-0.9751373747832902,-0.9751373747832902,1.0
12000,2.6923437,3.5954545454545452,-0.9291435,-0.9428055250534305,-0.9428055250534305,1.0
13000,2.6145515,4.4748603351955305,-0.91552985,-0.9326666372069896,-0.9326666372069896,1.0
14000,2.595787,6.090909090909091,-0.8939682,-0.9414609661127659,-0.9414609661127659,1.0
15000,2.5464756,5.842465753424658,-0.91393334,-0.971026998415992,-0.971026998415992,1.0
16000,2.501329,7.672413793103448,-0.8935192,-0.9089642570220998,-0.9089642570220998,1.0
17000,2.4145834,5.68595041322314,-0.8838278,-0.934730130055594,-0.934730130055594,1.0
18000,2.3061945,14.305555555555555,-0.9125274,-0.942611081732644,-0.942611081732644,1.0
19000,2.2852604,10.204545454545455,-0.8529976,-0.8591162531181823,-0.8591162531181823,1.0
20000,2.2317436,19.3,-0.85742354,-0.9979999769817699,-0.9979999769817699,1.0
21000,2.2076125,13.0,-0.7809203,-0.9979999661445618,-0.9979999661445618,1.0
22000,2.203449,29.0,-0.7527825,-0.9979999717324972,-0.9979999717324972,1.0
23000,2.1965206,46.5,-0.68259794,-0.9979999735951424,-0.9979999735951424,1.0
24000,2.1839755,None,-0.61889386,None,None,1.0
25000,2.1768203,None,-0.5931482,None,None,1.0
26000,2.1640549,None,-0.5468576,None,None,1.0
27000,2.1708357,330.0,-0.53868484,None,None,1.0
28000,2.1898797,418.6666666666667,-0.49630883,-0.998050032183528,-0.998050032183528,1.0
29000,2.2087133,306.75,-0.5249723,-0.7491000080481172,-0.7491000080481172,1.0
30000,2.2317793,169.91666666666666,-0.56308645,-0.9980666643629471,-0.9980666643629471,1.0
31000,2.2480373,76.65625,-0.55240285,-0.9980193340489941,-0.9980193340489941,1.0
32000,2.2198706,102.75,-0.60368055,-0.9980470327770009,-0.9980470327770009,1.0
33000,2.21956,34.869565217391305,-0.61108685,-0.9980086716620818,-0.9980086716620818,1.0
34000,2.1814735,37.9,-0.5851201,-0.99799999052828,-0.99799999052828,1.0
35000,2.172953,99.0,-0.51347184,-0.9979999512434006,-0.9979999512434006,1.0
36000,2.1362383,166.75,-0.47293797,-0.748299989849329,-0.748299989849329,1.0
37000,2.1242113,103.0,-0.4115985,-0.9979999735951424,-0.9979999735951424,1.0
38000,2.1201298,28.5,-0.47848192,-0.9979999959468842,-0.9979999959468842,1.0
39000,2.1145492,None,-0.37465328,None,None,1.0
40000,2.1173918,None,-0.38893974,None,None,1.0
41000,2.1395404,339.0,-0.37067974,-0.9980000108480453,-0.9980000108480453,1.0
42000,2.1451135,325.0,-0.3599111,-0.998040010035038,-0.998040010035038,1.0
43000,2.153838,None,-0.36261243,None,None,1.0
44000,2.1450095,499.0,-0.35552585,-0.998200036585331,-0.998200036585331,1.0
45000,2.1408017,323.75,-0.3378991,-0.9981000293046236,-0.9981000293046236,1.0
46000,2.130533,499.0,-0.32450333,-0.998200036585331,-0.998200036585331,1.0
47000,2.126071,438.42857142857144,-0.32792294,-0.9981714614800045,-0.9981714614800045,1.0
48000,2.1169705,282.25,-0.3463511,-0.9981500059366226,-0.9981500059366226,1.0
49000,2.0616214,None,-0.3204935,None,None,1.0
50000,2.0578873,499.0,-0.30328622,-0.998200036585331,-0.998200036585331,1.0
51000,2.0459204,None,-0.3026937,None,None,1.0
52000,2.0486472,499.0,-0.27982765,-0.998200036585331,-0.998200036585331,1.0
53000,2.052147,422.0,-0.27542722,None,None,1.0
54000,2.0543692,499.0,-0.26857108,-0.9981000237166882,-0.9981000237166882,1.0
55000,2.0939403,406.75,-0.26145464,-0.9981500282883644,-0.9981500282883644,1.0
56000,2.0998628,499.0,-0.26483214,-0.998200036585331,-0.998200036585331,1.0
57000,2.037145,None,-0.24992704,None,None,1.0
58000,2.0351462,499.0,-0.25648284,-0.998200036585331,-0.998200036585331,1.0
59000,2.0209644,499.0,-0.24240306,-0.998200036585331,-0.998200036585331,1.0
60000,2.012128,499.0,-0.24530211,-0.998200036585331,-0.998200036585331,1.0
61000,2.0421653,499.0,-0.24050222,-0.998200036585331,-0.998200036585331,1.0
62000,2.0619147,499.0,-0.23993255,-0.998200036585331,-0.998200036585331,1.0
63000,2.0505428,499.0,-0.24030949,-0.998200036585331,-0.998200036585331,1.0
64000,2.0458422,None,-0.23092411,-0.998200036585331,-0.998200036585331,1.0
65000,2.0337784,499.0,-0.23780398,-0.998200036585331,-0.998200036585331,1.0
66000,2.0251186,39.0,-0.22598872,-0.998199999332428,-0.998199999332428,1.0
67000,2.0150173,499.0,-0.22184902,-0.998200036585331,-0.998200036585331,1.0
68000,2.0111787,377.25,-0.23906825,-0.998200012370944,-0.998200012370944,1.0
69000,1.9961078,499.0,-0.22286066,-0.998200036585331,-0.998200036585331,1.0
70000,1.9808445,None,-0.23756072,None,None,1.0
71000,1.9873852,None,-0.22557527,None,None,1.0
72000,1.9775331,499.0,-0.21633656,-0.998200036585331,-0.998200036585331,1.0
73000,1.9812932,499.0,-0.21447441,-0.998200036585331,-0.998200036585331,1.0
74000,1.9688773,499.0,-0.21402597,-0.998200036585331,-0.998200036585331,1.0
75000,1.9762105,499.0,-0.22442348,-0.998200036585331,-0.998200036585331,1.0
76000,2.0092382,280.0,-0.22267011,-0.9981999869147936,-0.9981999869147936,1.0
77000,1.9970952,499.0,-0.21314873,-0.998200036585331,-0.998200036585331,1.0
78000,1.9668921,None,-0.22755721,None,None,1.0
79000,1.9737551,None,-0.21565948,None,None,1.0
80000,1.9870524,499.0,-0.2150541,-0.998200036585331,-0.998200036585331,1.0
81000,1.9870292,499.0,-0.2150079,-0.998200036585331,-0.998200036585331,1.0
82000,1.9966387,399.4,-0.1802197,-0.5989600241184234,-0.5989600241184234,1.0
83000,1.9978422,499.0,-0.21335861,-0.998200036585331,-0.998200036585331,1.0
84000,2.0186324,None,-0.20840684,None,None,1.0
