Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.889578,0.8357400722021661,-0.036176965,-0.725442774621323,-0.725442774621323,1.0
2000,2.889949,1.0019455252918288,-0.016341478,-0.9664268441822218,-0.9664268441822218,1.0
3000,2.886998,1.1684665226781858,-0.40113658,-0.954948243139119,-0.954948243139119,1.0
4000,2.8864536,1.2426966292134831,-0.4431008,-0.9532421203204869,-0.9532421203204869,1.0
5000,2.8692627,1.3240740740740742,-0.74371916,-0.9611316068618457,-0.9611316068618457,1.0
6000,2.8674834,1.3167848699763594,-0.7896755,-0.9704551402179674,-0.9704551402179674,1.0
7000,2.8445213,1.5384615384615385,-0.90384525,-0.9666230054425944,-0.9666230054425944,1.0
8000,2.837878,1.5153061224489797,-0.9619123,-0.9829974615185482,-0.9829974615185482,1.0
9000,2.816411,1.6864864864864866,-0.9620708,-0.9659625358760038,-0.9659625358760038,1.0
10000,2.793621,2.0462962962962963,-0.9481482,-0.9428588643761501,-0.9428588643761501,1.0
11000,2.7470274,2.364485981308411,-0.94882673,-0.9587540671473643,-0.9587540671473643,1.0
12000,2.720823,3.046218487394958,-0.93381476,-0.9502947914647866,-0.9502947914647866,1.0
13000,2.6958442,3.2297872340425533,-0.9113349,-0.9212820221725692,-0.9212820221725692,1.0
14000,2.664681,3.7163461538461537,-0.92918307,-0.9788076642614144,-0.9788076642614144,1.0
15000,2.6254818,4.082474226804123,-0.93755555,-0.9781193751007763,-0.9781193751007763,1.0
16000,2.5783021,5.192771084337349,-0.8945841,-0.9013454263860529,-0.9013454263860529,1.0
17000,2.564378,6.141891891891892,-0.86380553,-0.8838714037622725,-0.8838714037622725,1.0
18000,2.501388,6.0510948905109485,-0.91086704,-0.9252700453257039,-0.9252700453257039,1.0
19000,2.4941573,6.225563909774436,-0.8894899,-0.927517703661682,-0.927517703661682,1.0
20000,2.4324384,9.398148148148149,-0.89407015,-0.8979797736562863,-0.8979797736562863,1.0
21000,2.427275,10.48,-0.90148807,-0.9510823242804584,-0.9510823242804584,1.0
22000,2.3959918,10.091836734693878,-0.82828474,-0.9343829514815453,-0.9343829514815453,1.0
23000,2.3864315,8.49,-0.772211,-0.8191199725866318,-0.8191199725866318,1.0
24000,2.3345919,11.151162790697674,-0.8100303,-0.856595211085819,-0.856595211085819,1.0
25000,2.315294,15.23076923076923,-0.7579021,-0.7499999804422259,-0.7499999804422259,1.0
26000,2.29649,14.24561403508772,-0.8311881,-0.9662856866442968,-0.9662856866442968,1.0
27000,2.293949,16.755102040816325,-0.8260212,-0.8824313469961578,-0.8824313469961578,1.0
28000,2.2697587,19.43103448275862,-0.79025126,-0.9240740487972895,-0.9240740487972895,1.0
29000,2.2424738,20.536585365853657,-0.7082868,-0.7628571132109279,-0.7628571132109279,1.0
30000,2.2315161,17.892857142857142,-0.6947007,-0.7985333144664765,-0.7985333144664765,1.0
31000,2.1921687,22.0,-0.6651377,-0.7257221982710891,-0.7257221982710891,1.0
32000,2.1634982,18.266666666666666,-0.63147527,-0.7337333117922147,-0.7337333117922147,1.0
33000,2.1406753,30.2,-0.6245238,-0.7335999757051468,-0.7335999757051468,1.0
34000,2.1346667,33.68421052631579,-0.52013594,-0.2389999876419703,-0.2389999876419703,1.0
35000,2.1240275,25.09090909090909,-0.4612535,-0.2789090749892322,-0.2789090749892322,1.0
36000,2.132869,26.90909090909091,-0.5565706,-0.28509088402444666,-0.28509088402444666,1.0
37000,2.1283643,56.25,-0.5645988,-0.609199994802475,-0.609199994802475,1.0
38000,2.1345325,36.333333333333336,-0.64917696,-0.9979999640158245,-0.9979999640158245,1.0
39000,2.142626,52.0,-0.6074632,-0.7408571094274521,-0.7408571094274521,1.0
40000,2.139515,38.0,-0.5958945,-0.9979999711116155,-0.9979999711116155,1.0
41000,2.1233885,42.5,-0.5748981,-0.9979999884963036,-0.9979999884963036,1.0
42000,2.1185913,92.8,-0.5418265,-0.9979999959468842,-0.9979999959468842,1.0
43000,2.0997775,27.5,-0.47196192,-0.010999977588653564,-0.010999977588653564,1.0
44000,2.1019263,104.0,-0.5272489,-0.11199997365474701,-0.11199997365474701,1.0
45000,2.1067736,55.0,-0.47038683,-0.9979999884963036,-0.9979999884963036,1.0
46000,2.1100712,96.0,-0.4971186,-0.9980000108480453,-0.9980000108480453,1.0
47000,2.116115,96.5,-0.46318728,-0.9979999959468842,-0.9979999959468842,1.0
48000,2.112133,None,-0.43457824,None,None,1.0
49000,2.1138585,None,-0.4518976,None,None,1.0
50000,2.1118536,152.66666666666666,-0.40613493,-0.15399999916553497,-0.15399999916553497,1.0
51000,2.1088407,112.33333333333333,-0.42273402,-0.5645000077784061,-0.5645000077784061,1.0
52000,2.080526,None,-0.38591117,None,None,1.0
53000,2.0829065,109.5,-0.3914219,-0.997999981045723,-0.997999981045723,1.0
54000,2.070401,170.0,-0.38601434,-0.9979999959468842,-0.9979999959468842,1.0
55000,2.0733347,None,-0.38122457,None,None,1.0
56000,2.0939286,42.0,-0.35411143,-0.9979999661445618,-0.9979999661445618,1.0
57000,2.0982862,35.0,-0.36735237,-0.9979999661445618,-0.9979999661445618,1.0
58000,2.1024976,272.0,-0.33737993,-0.9980000257492065,-0.9980000257492065,1.0
59000,2.1040053,None,-0.34117192,None,None,1.0
60000,2.0974388,None,-0.3197564,None,None,1.0
61000,2.0948343,None,-0.32356784,None,None,1.0
62000,2.09616,None,-0.322944,None,None,1.0
63000,2.0961523,None,-0.31006923,None,None,1.0
64000,2.0898304,None,-0.30129796,None,None,1.0
65000,2.0834048,60.0,-0.2850691,0.8799999952316284,0.8799999952316284,1.0
66000,2.0942495,None,-0.28958338,None,None,1.0
67000,2.1117306,None,-0.27625594,None,None,1.0
68000,2.1087859,299.0,-0.26651913,-0.9979999959468842,-0.9979999959468842,1.0
69000,2.0873797,None,-0.25152194,None,None,1.0
70000,2.0846982,189.0,-0.25591502,-0.9979999959468842,-0.9979999959468842,1.0
71000,2.0847673,364.0,-0.24681813,-0.9980000108480453,-0.9980000108480453,1.0
72000,2.0853667,357.0,-0.22981694,-0.997999981045723,-0.997999981045723,1.0
73000,2.0810814,None,-0.21709892,None,None,1.0
74000,2.0790942,None,-0.09765217,None,None,1.0
75000,2.0753958,None,-0.20838414,None,None,1.0
76000,2.0738328,268.0,-0.18987665,-0.9979999959468842,-0.9979999959468842,1.0
77000,2.1137733,None,-0.15057534,None,None,1.0
78000,2.16529,362.0,-0.10073392,-0.9980000108480453,-0.9980000108480453,1.0
79000,2.153286,419.0,-0.14313035,-0.9980000257492065,-0.9980000257492065,1.0
80000,2.1146362,None,-0.15575504,None,None,1.0
81000,2.124085,416.0,-0.096061364,-0.9980000257492065,-0.9980000257492065,1.0
82000,2.1580691,None,-0.1322389,None,None,1.0
83000,2.168048,481.3333333333333,-0.15958926,-0.9981667014459769,-0.9981667014459769,1.0
84000,2.1638942,496.0,-0.10050875,-0.9981000311672688,-0.9981000311672688,1.0
85000,2.1535923,455.42857142857144,-0.12183097,-0.9981428927608899,-0.9981428927608899,1.0
86000,2.1565502,499.0,-0.14495605,-0.998200036585331,-0.998200036585331,1.0
87000,2.166547,499.0,-0.13641189,-0.998200036585331,-0.998200036585331,1.0
88000,2.1605532,479.1666666666667,-0.06979114,-0.9981333687901497,-0.9981333687901497,1.0
